※ED1.精灵ED之一,"Map258.json,events,2,pages,0,list,4,parameters,0"
虽然没有使用任何魔法……。,"Map258.json,events,25,pages,1,list,28,parameters,0"
而且还感觉到阻力减小了。,"Map258.json,events,25,pages,1,list,29,parameters,0"
能够利用鳍，减少阻力并移动吗。,"Map258.json,events,25,pages,1,list,31,parameters,0"
虽然应该尽快去陆地上，,"Map258.json,events,25,pages,1,list,32,parameters,0"
但她还想在水中玩耍。,"Map258.json,events,25,pages,1,list,33,parameters,0"
\C[27]清彦,"Map258.json,events,25,pages,1,list,38,parameters,0"
「在去陆地之前，稍微游泳一下吧……」,"Map258.json,events,25,pages,1,list,39,parameters,0"
感觉很舒服。,"Map258.json,events,25,pages,1,list,42,parameters,0"
仿佛与世界融为一体――。,"Map258.json,events,25,pages,1,list,43,parameters,0"
再多游一会儿……♪,"Map258.json,events,25,pages,1,list,45,parameters,0"
再多。再多。\.\.\C[27]再多。\!必须再多游……！,"Map258.json,events,25,pages,1,list,46,parameters,0"
身体不停地动。,"Map258.json,events,25,pages,1,list,52,parameters,0"
只是游泳，就能变得这么幸福……。,"Map258.json,events,25,pages,1,list,53,parameters,0"
感觉有什么东西在生长。\!,"Map258.json,events,25,pages,1,list,58,parameters,0"
感觉颜色在改变。\!,"Map258.json,events,25,pages,1,list,59,parameters,0"
感觉有什么东西正在融合。,"Map258.json,events,25,pages,1,list,60,parameters,0"
本来害怕自己会发生如此大的变化。,"Map258.json,events,25,pages,1,list,63,parameters,0"
本以为不会再变了――。,"Map258.json,events,25,pages,1,list,64,parameters,0"
现在的自己，觉得非常幸福――。,"Map258.json,events,25,pages,1,list,71,parameters,0"
\C[27]清彦,"Map258.json,events,25,pages,1,list,78,parameters,0"
「呼呵」,"Map258.json,events,25,pages,1,list,79,parameters,0"
突然，全身被某物阻挡住，急停下来。,"Map258.json,events,25,pages,1,list,81,parameters,0"
发出奇怪的声音，脸和胸部剧痛。,"Map258.json,events,25,pages,1,list,82,parameters,0"
\C[27]清彦,"Map258.json,events,25,pages,1,list,85,parameters,0"
「这是什么……？,"Map258.json,events,25,pages,1,list,86,parameters,0"
咦，咦？？？」,"Map258.json,events,25,pages,1,list,87,parameters,0"
仔细看，那是像网一样的东西。,"Map258.json,events,25,pages,1,list,98,parameters,0"
确认了那个，她注意到自己的手……不，全身都是蓝色的。,"Map258.json,events,25,pages,1,list,99,parameters,0"
\!不对……是蓝色吗？还是水色吗？等等，比起这个,"Map258.json,events,25,pages,1,list,100,parameters,0"
双脚无法灵活地动。,"Map258.json,events,25,pages,1,list,101,parameters,0"
就像喝醉酒一样,"Map258.json,events,25,pages,1,list,103,parameters,0"
对身体发生的变化感到幸福。,"Map258.json,events,25,pages,1,list,104,parameters,0"
但是，她并不知道发生了什么。,"Map258.json,events,25,pages,1,list,105,parameters,0"
\C[27]清彦,"Map258.json,events,25,pages,1,list,111,parameters,0"
「呜哇！」,"Map258.json,events,25,pages,1,list,112,parameters,0"
像网一样的东西缠绕在全身。,"Map258.json,events,25,pages,1,list,114,parameters,0"
狭窄，疼痛。网深深地嵌入全身的各个部位。,"Map258.json,events,25,pages,1,list,115,parameters,0"
然后身体像被抬到海面上一样迅速移动。,"Map258.json,events,25,pages,1,list,116,parameters,0"
身体发出痛苦的声音。,"Map258.json,events,25,pages,1,list,122,parameters,0"
感觉恶心，意识一瞬间就要消失。,"Map258.json,events,25,pages,1,list,123,parameters,0"
讽刺的是，嵌入的网的疼痛,"Map258.json,events,25,pages,1,list,124,parameters,0"
阻止了她失去意识。,"Map258.json,events,25,pages,1,list,125,parameters,0"
男声Ａ,"Map258.json,events,25,pages,1,list,130,parameters,0"
「好～了，今天也太りょ……\!嗯？」,"Map258.json,events,25,pages,1,list,131,parameters,0"
男声Ｂ,"Map258.json,events,25,pages,1,list,133,parameters,0"
「什、什么……！？」,"Map258.json,events,25,pages,1,list,134,parameters,0"
男声Ａ,"Map258.json,events,25,pages,1,list,136,parameters,0"
「快、快叫船长！船长ーーー！！！」,"Map258.json,events,25,pages,1,list,137,parameters,0"
否,"Map258.json,events,25,pages,1,list,141,parameters,1"
※ED13.人鱼篇ED7,"Map258.json,events,27,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,27,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,27,pages,0,list,6,parameters,0"
是,"Map258.json,events,27,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,27,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,27,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,27,pages,0,list,8,parameters,1"
变身第五阶段（人鱼化）,"Map258.json,events,27,pages,0,list,10,parameters,0"
推开二楼的岩石逃脱。,"Map258.json,events,27,pages,0,list,11,parameters,0"
从这个阶段开始不需要水压球。,"Map258.json,events,27,pages,0,list,13,parameters,0"
无论是否持有，都可以破坏。,"Map258.json,events,27,pages,0,list,14,parameters,0"
解锁这个ED,"Map258.json,events,27,pages,0,list,16,parameters,1"
确定要解锁吗？,"Map258.json,events,27,pages,0,list,18,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,27,pages,0,list,19,parameters,0"
是,"Map258.json,events,27,pages,0,list,20,parameters,0,0"
否,"Map258.json,events,27,pages,0,list,20,parameters,0,1"
是,"Map258.json,events,27,pages,0,list,21,parameters,1"
否,"Map258.json,events,27,pages,0,list,27,parameters,1"
否,"Map258.json,events,27,pages,0,list,31,parameters,1"
要观看『ED13.完全人鱼化ED』吗？,"Map258.json,events,27,pages,1,list,2,parameters,0"
是,"Map258.json,events,27,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,27,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,27,pages,1,list,4,parameters,1"
\C[27]清彦,"Map258.json,events,27,pages,1,list,17,parameters,0"
「……外面啊」,"Map258.json,events,27,pages,1,list,18,parameters,0"
终于能出去了。,"Map258.json,events,27,pages,1,list,20,parameters,0"
透过的阳光有一种幻想般的感觉。,"Map258.json,events,27,pages,1,list,21,parameters,0"
能够在海中这样眺望,"Map258.json,events,27,pages,1,list,24,parameters,0"
可能一生只有一次。,"Map258.json,events,27,pages,1,list,25,parameters,0"
\!……如果无法恢复原样，就会一生顶礼膜拜。,"Map258.json,events,27,pages,1,list,26,parameters,0"
以前的话，会用脚,"Map258.json,events,27,pages,1,list,28,parameters,0"
从船上走到陆地上。,"Map258.json,events,27,pages,1,list,29,parameters,0"
但现在的她已经没有脚了。,"Map258.json,events,27,pages,1,list,30,parameters,0"
用尾巴……用屁股慢慢地上下摇晃着前进。,"Map258.json,events,27,pages,1,list,31,parameters,0"
完全感觉不到水的阻力。,"Map258.json,events,27,pages,1,list,34,parameters,0"
反而有一种在顺风条件下奔跑的感觉。,"Map258.json,events,27,pages,1,list,35,parameters,0"
能感觉到潮流。,"Map258.json,events,27,pages,1,list,40,parameters,0"
甚至能听到生物的呼吸声。,"Map258.json,events,27,pages,1,list,41,parameters,0"
周围的生物也好像欢迎她一样。,"Map258.json,events,27,pages,1,list,42,parameters,0"
她自己也成为了海洋生物，被告知了这一点。,"Map258.json,events,27,pages,1,list,43,parameters,0"
\C[27]清彦,"Map258.json,events,27,pages,1,list,45,parameters,0"
「啊啊……我已经……」,"Map258.json,events,27,pages,1,list,46,parameters,0"
――但是，完全没有绝望感。,"Map258.json,events,27,pages,1,list,52,parameters,0"
\!相反，她感到高兴，优雅地游泳着享受着。,"Map258.json,events,27,pages,1,list,53,parameters,0"
抬头看到光。低头看到鱼儿。,"Map258.json,events,27,pages,1,list,54,parameters,0"
她按照自己的意愿……继续游泳。,"Map258.json,events,27,pages,1,list,55,parameters,0"
然后张开嘴。,"Map258.json,events,27,pages,1,list,64,parameters,0"
伸开双手，仿佛在回应没有观众的,"Map258.json,events,27,pages,1,list,65,parameters,0"
唱着陌生的歌。,"Map258.json,events,27,pages,1,list,66,parameters,0"
在水中，她竟然能发出声音。,"Map258.json,events,27,pages,1,list,67,parameters,0"
鱼儿们被那声音吸引过来。,"Map258.json,events,27,pages,1,list,69,parameters,0"
\!当歌声结束时，鱼儿……不，围绕着她的,"Map258.json,events,27,pages,1,list,70,parameters,0"
海洋生物们都变成了她顺从的生物。,"Map258.json,events,27,pages,1,list,71,parameters,0"
就像保护她的士兵一样。,"Map258.json,events,27,pages,1,list,72,parameters,0"
人鱼这种魔物娘早已灭亡。,"Map258.json,events,27,pages,1,list,78,parameters,0"
为什么会灭亡呢？\.\.\.那是――。,"Map258.json,events,27,pages,1,list,79,parameters,0"
否,"Map258.json,events,27,pages,1,list,82,parameters,1"
※ED14.猫娘篇ED1,"Map258.json,events,28,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,28,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,28,pages,0,list,6,parameters,0"
是,"Map258.json,events,28,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,28,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,28,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,28,pages,0,list,8,parameters,1"
需要在第二天无力化守卫并逃脱。,"Map258.json,events,28,pages,0,list,10,parameters,0"
获取『粘性液体』和『发情对策药』两样物品。,"Map258.json,events,28,pages,0,list,11,parameters,0"
液体不包括在物品栏中。,"Map258.json,events,28,pages,0,list,12,parameters,0"
详细攻略信息请与左边的猫咪交谈。,"Map258.json,events,28,pages,0,list,13,parameters,0"
解锁这个ED,"Map258.json,events,28,pages,0,list,15,parameters,1"
确定要解锁吗？,"Map258.json,events,28,pages,0,list,17,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,28,pages,0,list,18,parameters,0"
是,"Map258.json,events,28,pages,0,list,19,parameters,0,0"
否,"Map258.json,events,28,pages,0,list,19,parameters,0,1"
是,"Map258.json,events,28,pages,0,list,20,parameters,1"
否,"Map258.json,events,28,pages,0,list,26,parameters,1"
否,"Map258.json,events,28,pages,0,list,30,parameters,1"
要观看『ED14.家族ED』吗？,"Map258.json,events,28,pages,1,list,2,parameters,0"
是,"Map258.json,events,28,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,28,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,28,pages,1,list,4,parameters,1"
否,"Map258.json,events,28,pages,1,list,14,parameters,1"
※ED15.猫娘篇ED2,"Map258.json,events,29,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,29,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,29,pages,0,list,6,parameters,0"
是,"Map258.json,events,29,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,29,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,29,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,29,pages,0,list,8,parameters,1"
在第二天听从守卫的话而不逃脱。,"Map258.json,events,29,pages,0,list,10,parameters,0"
注意，在使用『粘性液体』之后,"Map258.json,events,29,pages,0,list,11,parameters,0"
会被迫闻到猫薄荷而发情。,"Map258.json,events,29,pages,0,list,12,parameters,0"
解锁这个ED,"Map258.json,events,29,pages,0,list,14,parameters,1"
确定要解锁吗？,"Map258.json,events,29,pages,0,list,16,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,29,pages,0,list,17,parameters,0"
是,"Map258.json,events,29,pages,0,list,18,parameters,0,0"
否,"Map258.json,events,29,pages,0,list,18,parameters,0,1"
是,"Map258.json,events,29,pages,0,list,19,parameters,1"
否,"Map258.json,events,29,pages,0,list,25,parameters,1"
否,"Map258.json,events,29,pages,0,list,29,parameters,1"
要观看『ED15.饲养猫ED』吗？,"Map258.json,events,29,pages,1,list,2,parameters,0"
是,"Map258.json,events,29,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,29,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,29,pages,1,list,4,parameters,1"
\C[27]清彦,"Map258.json,events,29,pages,1,list,19,parameters,0"
「……！来了！」,"Map258.json,events,29,pages,1,list,20,parameters,0"
越来越近的脚步声。越来越近的那个人的气味。越来越近的饲料的气味。,"Map258.json,events,29,pages,1,list,22,parameters,0"
耳朵颤动着捕捉到那声音，尾巴左右摇摆。,"Map258.json,events,29,pages,1,list,23,parameters,0"
眼睛也不知为何闪烁着光芒，显得生气勃勃。,"Map258.json,events,29,pages,1,list,24,parameters,0"
\C[27]清彦,"Map258.json,events,29,pages,1,list,38,parameters,0"
「饭饭！饭饭！」,"Map258.json,events,29,pages,1,list,39,parameters,0"
守卫,"Map258.json,events,29,pages,1,list,42,parameters,0"
「（……没有发情吧，对吧……？,"Map258.json,events,29,pages,1,list,43,parameters,0"
\.\.\.该死。虽然感觉很舒服，但腰疼）」,"Map258.json,events,29,pages,1,list,44,parameters,0"
守卫,"Map258.json,events,29,pages,1,list,48,parameters,0"
「（今天完全没有威胁的意思啊。,"Map258.json,events,29,pages,1,list,49,parameters,0"
不仅如此，还像是等了好久一样。,"Map258.json,events,29,pages,1,list,50,parameters,0"
这样的话……应该没问题吧）」,"Map258.json,events,29,pages,1,list,51,parameters,0"
守卫,"Map258.json,events,29,pages,1,list,53,parameters,0"
「（为了安全起见，还是要注意逃跑）」,"Map258.json,events,29,pages,1,list,54,parameters,0"
\C[27]清彦,"Map258.json,events,29,pages,1,list,63,parameters,0"
「喵～♪等了你好久～♪」,"Map258.json,events,29,pages,1,list,64,parameters,0"
守卫,"Map258.json,events,29,pages,1,list,68,parameters,0"
「等……等一下。,"Map258.json,events,29,pages,1,list,69,parameters,0"
来，这是饭菜。好好吃」,"Map258.json,events,29,pages,1,list,70,parameters,0"
守卫,"Map258.json,events,29,pages,1,list,74,parameters,0"
「等一下。\!,"Map258.json,events,29,pages,1,list,75,parameters,0"
来，这是饭菜。好好吃」,"Map258.json,events,29,pages,1,list,76,parameters,0"
\C[27]清彦,"Map258.json,events,29,pages,1,list,81,parameters,0"
「我开动了～♡」,"Map258.json,events,29,pages,1,list,82,parameters,0"
\C[27]清彦,"Map258.json,events,29,pages,1,list,88,parameters,0"
「谢谢款待♪」,"Map258.json,events,29,pages,1,list,89,parameters,0"
守卫,"Map258.json,events,29,pages,1,list,91,parameters,0"
「（看着她吃得津津有味，感觉很舒服。,"Map258.json,events,29,pages,1,list,92,parameters,0"
每一个动作都可爱极了,"Map258.json,events,29,pages,1,list,93,parameters,0"
如果可以养的话，真想养）」,"Map258.json,events,29,pages,1,list,94,parameters,0"
\C[27]清彦,"Map258.json,events,29,pages,1,list,96,parameters,0"
「咪～……期待明天的到来♪」,"Map258.json,events,29,pages,1,list,97,parameters,0"
仰望着他的脸，眼睛闪烁的美少女。,"Map258.json,events,29,pages,1,list,100,parameters,0"
一瞬间，让守卫的心跳加速。,"Map258.json,events,29,pages,1,list,101,parameters,0"
对于这样的少女，他也要回应她以后的期待……。,"Map258.json,events,29,pages,1,list,102,parameters,0"
\!然而，事情并不是这么简单。,"Map258.json,events,29,pages,1,list,103,parameters,0"
守卫,"Map258.json,events,29,pages,1,list,107,parameters,0"
「啊，啊。,"Map258.json,events,29,pages,1,list,108,parameters,0"
是的……再见了，明天……吧。,"Map258.json,events,29,pages,1,list,109,parameters,0"
我要锁门了，你退后点」,"Map258.json,events,29,pages,1,list,110,parameters,0"
守卫,"Map258.json,events,29,pages,1,list,113,parameters,0"
「（虽然昨天发生了那样的事情……。,"Map258.json,events,29,pages,1,list,114,parameters,0"
啊，果然我……对她产生了感情。,"Map258.json,events,29,pages,1,list,115,parameters,0"
但是，今天就……）」,"Map258.json,events,29,pages,1,list,116,parameters,0"
守卫,"Map258.json,events,29,pages,1,list,120,parameters,0"
「（啊，果然我……对她产生了感情。,"Map258.json,events,29,pages,1,list,121,parameters,0"
但是，今天就……,"Map258.json,events,29,pages,1,list,122,parameters,0"
我也有自己的生活。不能勉强带她走）」,"Map258.json,events,29,pages,1,list,123,parameters,0"
\C[27]清彦,"Map258.json,events,29,pages,1,list,127,parameters,0"
「好的♪」,"Map258.json,events,29,pages,1,list,128,parameters,0"
一瞬间，守卫流露出一丝寂寞的氛围。,"Map258.json,events,29,pages,1,list,154,parameters,0"
她歪着头看着他的背影。,"Map258.json,events,29,pages,1,list,155,parameters,0"
\!为什么还能再见面呢……？,"Map258.json,events,29,pages,1,list,156,parameters,0"
但是……守卫不能再与她有所牵连。,"Map258.json,events,29,pages,1,list,157,parameters,0"
因为，她是\C[18]商品\C[0]――。,"Map258.json,events,29,pages,1,list,160,parameters,0"
否,"Map258.json,events,29,pages,1,list,165,parameters,1"
※ED16.妖狐篇ED1,"Map258.json,events,39,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,39,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,39,pages,0,list,6,parameters,0"
是,"Map258.json,events,39,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,39,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,39,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,39,pages,0,list,8,parameters,1"
必须一次都不湿身，也不输给植物。,"Map258.json,events,39,pages,0,list,10,parameters,0"
※战斗时需要知道弱点。,"Map258.json,events,39,pages,0,list,12,parameters,0"
第一回合选择自由选项。,"Map258.json,events,39,pages,0,list,13,parameters,0"
第二回合选择『演技』→『现在是攻击时机』。,"Map258.json,events,39,pages,0,list,14,parameters,0"
之后返回城镇，完成事件即可达成。,"Map258.json,events,39,pages,0,list,16,parameters,0"
解锁这个ED,"Map258.json,events,39,pages,0,list,18,parameters,1"
确定要解锁吗？,"Map258.json,events,39,pages,0,list,20,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,39,pages,0,list,21,parameters,0"
是,"Map258.json,events,39,pages,0,list,22,parameters,0,0"
否,"Map258.json,events,39,pages,0,list,22,parameters,0,1"
是,"Map258.json,events,39,pages,0,list,23,parameters,1"
否,"Map258.json,events,39,pages,0,list,29,parameters,1"
否,"Map258.json,events,39,pages,0,list,33,parameters,1"
要观看『ED16.依存ED』吗？,"Map258.json,events,39,pages,1,list,2,parameters,0"
是,"Map258.json,events,39,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,39,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,39,pages,1,list,4,parameters,1"
奇怪的寂静。\!,"Map258.json,events,39,pages,1,list,14,parameters,0"
这也是理所当然的，虽然外表上是两个女性,"Map258.json,events,39,pages,1,list,15,parameters,0"
但她刚才做的事情完全是性骚扰行为。,"Map258.json,events,39,pages,1,list,16,parameters,0"
大妖狐,"Map258.json,events,39,pages,1,list,18,parameters,0"
「好好地攻击了弱点呢。,"Map258.json,events,39,pages,1,list,19,parameters,0"
作为分身的我这里特别敏感。,"Map258.json,events,39,pages,1,list,20,parameters,0"
你好好地看过书了吗？还是巧合？」,"Map258.json,events,39,pages,1,list,21,parameters,0"
大妖狐,"Map258.json,events,39,pages,1,list,23,parameters,0"
「如果是巧合，那就是个变态吧？,"Map258.json,events,39,pages,1,list,24,parameters,0"
还是……说你有天赋比较好？」,"Map258.json,events,39,pages,1,list,25,parameters,0"
\C[27]清彦,"Map258.json,events,39,pages,1,list,28,parameters,0"
「请不要说奇怪的话！,"Map258.json,events,39,pages,1,list,29,parameters,0"
我可是好好地调查过的！」,"Map258.json,events,39,pages,1,list,30,parameters,0"
第一次和大妖狐的分身对话的感觉。,"Map258.json,events,39,pages,1,list,32,parameters,0"
现在想起来，她（？）应该是和大妖狐不同的人格。,"Map258.json,events,39,pages,1,list,33,parameters,0"
还是……外面世界的大妖狐,"Map258.json,events,39,pages,1,list,34,parameters,0"
在操纵着什么东西吗。,"Map258.json,events,39,pages,1,list,35,parameters,0"
大妖狐,"Map258.json,events,39,pages,1,list,37,parameters,0"
「呵呵……只是开玩笑♪,"Map258.json,events,39,pages,1,list,38,parameters,0"
那么，我会把你送回原来的世界。,"Map258.json,events,39,pages,1,list,39,parameters,0"
再见了～♪」,"Map258.json,events,39,pages,1,list,40,parameters,0"
眼前一片白色，变得一片黑暗。,"Map258.json,events,39,pages,1,list,46,parameters,0"
总之，好像完成了大妖狐的请求。,"Map258.json,events,39,pages,1,list,47,parameters,0"
一开始还不知道会怎样。,"Map258.json,events,39,pages,1,list,49,parameters,0"
被奇怪的皮衣包裹着，被带到奇怪的世界。,"Map258.json,events,39,pages,1,list,50,parameters,0"
打倒了植物……发生了各种各样的事情。,"Map258.json,events,39,pages,1,list,51,parameters,0"
但这也是宝贵的经历。,"Map258.json,events,39,pages,1,list,53,parameters,0"
回到原来的样子，得到宝物，离开魔物娘岛。,"Map258.json,events,39,pages,1,list,54,parameters,0"
卖掉短刀，可以得到相当多的钱。,"Map258.json,events,39,pages,1,list,55,parameters,0"
经历了艰辛……也算是值得的……。,"Map258.json,events,39,pages,1,list,56,parameters,0"
否,"Map258.json,events,39,pages,1,list,63,parameters,1"
※ED17.妖狐篇ED2,"Map258.json,events,40,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,40,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,40,pages,0,list,6,parameters,0"
是,"Map258.json,events,40,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,40,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,40,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,40,pages,0,list,8,parameters,1"
必须一次都不湿身，也不输给植物。,"Map258.json,events,40,pages,0,list,10,parameters,0"
※可以直接进入战斗。,"Map258.json,events,40,pages,0,list,12,parameters,0"
如果知道弱点，会显示选项，但,"Map258.json,events,40,pages,0,list,13,parameters,0"
第一回合选择自由选项。,"Map258.json,events,40,pages,0,list,14,parameters,0"
第二回合选择『不，攻击这里』。,"Map258.json,events,40,pages,0,list,15,parameters,0"
解锁这个ED,"Map258.json,events,40,pages,0,list,17,parameters,1"
确定要解锁吗？,"Map258.json,events,40,pages,0,list,19,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,40,pages,0,list,20,parameters,0"
是,"Map258.json,events,40,pages,0,list,21,parameters,0,0"
否,"Map258.json,events,40,pages,0,list,21,parameters,0,1"
是,"Map258.json,events,40,pages,0,list,22,parameters,1"
否,"Map258.json,events,40,pages,0,list,28,parameters,1"
否,"Map258.json,events,40,pages,0,list,32,parameters,1"
要观看『ED17.修行妖狐ED1』吗？,"Map258.json,events,40,pages,1,list,2,parameters,0"
是,"Map258.json,events,40,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,40,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,40,pages,1,list,4,parameters,1"
否,"Map258.json,events,40,pages,1,list,12,parameters,1"
※ED18.妖狐篇ED3,"Map258.json,events,41,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,41,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,41,pages,0,list,6,parameters,0"
是,"Map258.json,events,41,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,41,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,41,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,41,pages,0,list,8,parameters,1"
必须只被水弄湿一次或者输给植物一次。,"Map258.json,events,41,pages,0,list,10,parameters,0"
※战斗时需要知道弱点。,"Map258.json,events,41,pages,0,list,12,parameters,0"
第一回合无选项。,"Map258.json,events,41,pages,0,list,13,parameters,0"
第二回合选择『瞄准根部』。,"Map258.json,events,41,pages,0,list,14,parameters,0"
解锁这个ED,"Map258.json,events,41,pages,0,list,16,parameters,1"
确定要解锁吗？,"Map258.json,events,41,pages,0,list,18,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,41,pages,0,list,19,parameters,0"
是,"Map258.json,events,41,pages,0,list,20,parameters,0,0"
否,"Map258.json,events,41,pages,0,list,20,parameters,0,1"
是,"Map258.json,events,41,pages,0,list,21,parameters,1"
否,"Map258.json,events,41,pages,0,list,27,parameters,1"
否,"Map258.json,events,41,pages,0,list,31,parameters,1"
要观看『ED18.修行妖狐ED2』吗？,"Map258.json,events,41,pages,1,list,2,parameters,0"
是,"Map258.json,events,41,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,41,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,41,pages,1,list,4,parameters,1"
否,"Map258.json,events,41,pages,1,list,13,parameters,1"
※ED19.妖狐篇ED4,"Map258.json,events,42,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,42,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,42,pages,0,list,6,parameters,0"
是,"Map258.json,events,42,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,42,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,42,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,42,pages,0,list,8,parameters,1"
必须只被水弄湿一次或者输给植物一次。,"Map258.json,events,42,pages,0,list,10,parameters,0"
※可以直接进入战斗。,"Map258.json,events,42,pages,0,list,12,parameters,0"
如果知道弱点，会显示选项，但,"Map258.json,events,42,pages,0,list,13,parameters,0"
第一回合选择自由选项。,"Map258.json,events,42,pages,0,list,14,parameters,0"
第二回合选择『瞄准其他部位』。,"Map258.json,events,42,pages,0,list,15,parameters,0"
解锁这个ED,"Map258.json,events,42,pages,0,list,17,parameters,1"
确定要解锁吗？,"Map258.json,events,42,pages,0,list,19,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,42,pages,0,list,20,parameters,0"
是,"Map258.json,events,42,pages,0,list,21,parameters,0,0"
否,"Map258.json,events,42,pages,0,list,21,parameters,0,1"
是,"Map258.json,events,42,pages,0,list,22,parameters,1"
否,"Map258.json,events,42,pages,0,list,28,parameters,1"
否,"Map258.json,events,42,pages,0,list,32,parameters,1"
要观看『ED19.修行妖狐ED3』吗？,"Map258.json,events,42,pages,1,list,2,parameters,0"
是,"Map258.json,events,42,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,42,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,42,pages,1,list,4,parameters,1"
否,"Map258.json,events,42,pages,1,list,12,parameters,1"
※ED20.妖狐篇ED5,"Map258.json,events,43,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,43,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,43,pages,0,list,6,parameters,0"
是,"Map258.json,events,43,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,43,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,43,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,43,pages,0,list,8,parameters,1"
需要被水弄湿或者输给植物两次。,"Map258.json,events,43,pages,0,list,10,parameters,0"
可以是被水弄湿＋植物一次,"Map258.json,events,43,pages,0,list,11,parameters,0"
或者植物三次。,"Map258.json,events,43,pages,0,list,12,parameters,0"
必须阅读书籍才能知道弱点。,"Map258.json,events,43,pages,0,list,13,parameters,0"
※即使知道弱点也可以获胜。,"Map258.json,events,43,pages,0,list,15,parameters,0"
前者第一回合和第二回合都没有选项。,"Map258.json,events,43,pages,0,list,16,parameters,0"
后者第一回合自由选择，,"Map258.json,events,43,pages,0,list,17,parameters,0"
第二回合选择『瞄准根部』。,"Map258.json,events,43,pages,0,list,18,parameters,0"
解锁这个ED,"Map258.json,events,43,pages,0,list,20,parameters,1"
确定要解锁吗？,"Map258.json,events,43,pages,0,list,22,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,43,pages,0,list,23,parameters,0"
是,"Map258.json,events,43,pages,0,list,24,parameters,0,0"
否,"Map258.json,events,43,pages,0,list,24,parameters,0,1"
是,"Map258.json,events,43,pages,0,list,25,parameters,1"
否,"Map258.json,events,43,pages,0,list,31,parameters,1"
否,"Map258.json,events,43,pages,0,list,35,parameters,1"
