もと父親,"Map088.json,events,1,name"
是,"Map088.json,events,10,pages,7,list,3,parameters,1"
女人,"Map088.json,events,10,pages,7,list,5,parameters,0"
「想要女性店员，我一直有这个想法，,"Map088.json,events,10,pages,7,list,6,parameters,0"
但没想到我……不，我会……」,"Map088.json,events,10,pages,7,list,7,parameters,0"
女人,"Map088.json,events,10,pages,7,list,9,parameters,0"
「但是嘛……变年轻也不是坏事。,"Map088.json,events,10,pages,7,list,10,parameters,0"
虽然力量下降了，但还能做到以前能做的事。,"Map088.json,events,10,pages,7,list,11,parameters,0"
比变成小孩要好多了」,"Map088.json,events,10,pages,7,list,12,parameters,0"
女人,"Map088.json,events,10,pages,7,list,14,parameters,0"
「只是……有时候会被受困于后遗症的人,"Map088.json,events,10,pages,7,list,15,parameters,0"
袭击。如果不是以前的冒险家的话，,"Map088.json,events,10,pages,7,list,16,parameters,0"
现在可能已经很危险了……」,"Map088.json,events,10,pages,7,list,17,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,7,list,20,parameters,0"
「（被袭击了吗）」,"Map088.json,events,10,pages,7,list,21,parameters,0"
即使被袭击，也能抵抗下来。,"Map088.json,events,10,pages,7,list,23,parameters,0"
以人类的力量，无法与魅魔相抗衡。,"Map088.json,events,10,pages,7,list,24,parameters,0"
但是……如果没有力量,"Map088.json,events,10,pages,7,list,25,parameters,0"
现在可能已经被做了各种事情。,"Map088.json,events,10,pages,7,list,26,parameters,0"
相反，如果还有袭击人类的欲望……？,"Map088.json,events,10,pages,7,list,28,parameters,0"
虽然没有同化的作用,"Map088.json,events,10,pages,7,list,29,parameters,0"
但可能会对人们进行（性）袭击。,"Map088.json,events,10,pages,7,list,30,parameters,0"
……只是身体变了，并没有后遗症。,"Map088.json,events,10,pages,7,list,32,parameters,0"
自己在某种意义上，是幸运的吧？,"Map088.json,events,10,pages,7,list,33,parameters,0"
她这样想着。,"Map088.json,events,10,pages,7,list,34,parameters,0"
否,"Map088.json,events,10,pages,7,list,36,parameters,1"
女人,"Map088.json,events,10,pages,8,list,2,parameters,0"
「想要女性店员，我一直有这个想法，,"Map088.json,events,10,pages,8,list,3,parameters,0"
但没想到我……不，我会……」,"Map088.json,events,10,pages,8,list,4,parameters,0"
女性,"Map088.json,events,10,pages,8,list,6,parameters,0"
「但是嘛……年轻起来也不错。,"Map088.json,events,10,pages,8,list,7,parameters,0"
虽然力量下降了，但还能做到以前能做的事情」,"Map088.json,events,10,pages,8,list,8,parameters,0"
女人,"Map088.json,events,10,pages,8,list,10,parameters,0"
「只是……有时候会被受困于后遗症的人,"Map088.json,events,10,pages,8,list,11,parameters,0"
袭击。如果不是以前的冒险家的话，,"Map088.json,events,10,pages,8,list,12,parameters,0"
现在可能已经很危险了……」,"Map088.json,events,10,pages,8,list,13,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,8,list,16,parameters,0"
「（被袭击了吗）」,"Map088.json,events,10,pages,8,list,17,parameters,0"
即使被袭击，也能抵抗下来。,"Map088.json,events,10,pages,8,list,19,parameters,0"
以人类的力量，无法与魅魔相抗衡。,"Map088.json,events,10,pages,8,list,20,parameters,0"
但是……如果没有力量,"Map088.json,events,10,pages,8,list,21,parameters,0"
现在可能已经被做了各种事情。更何况是孩子的身体。,"Map088.json,events,10,pages,8,list,22,parameters,0"
相反，如果还有袭击人类的欲望……？,"Map088.json,events,10,pages,8,list,24,parameters,0"
虽然没有同化的作用,"Map088.json,events,10,pages,8,list,25,parameters,0"
但可能会对人们进行（性）袭击。,"Map088.json,events,10,pages,8,list,26,parameters,0"
孩子袭击孩子，孩子袭击成年人的情景。,"Map088.json,events,10,pages,8,list,27,parameters,0"
……只是身体变了，并没有后遗症。,"Map088.json,events,10,pages,8,list,29,parameters,0"
自己在某种意义上，是幸运的吧？,"Map088.json,events,10,pages,8,list,30,parameters,0"
她这样想着。,"Map088.json,events,10,pages,8,list,31,parameters,0"
是否再次观看事件？,"Map088.json,events,10,pages,9,list,1,parameters,0"
是,"Map088.json,events,10,pages,9,list,2,parameters,0,0"
否,"Map088.json,events,10,pages,9,list,2,parameters,0,1"
是,"Map088.json,events,10,pages,9,list,3,parameters,1"
女人,"Map088.json,events,10,pages,9,list,6,parameters,0"
「想要女性店员，我一直有这个想法，,"Map088.json,events,10,pages,9,list,7,parameters,0"
但没想到我……不，我会……」,"Map088.json,events,10,pages,9,list,8,parameters,0"
女性,"Map088.json,events,10,pages,9,list,10,parameters,0"
「但是嘛……年轻起来也不错。,"Map088.json,events,10,pages,9,list,11,parameters,0"
虽然力量下降了，但还能做到以前能做的事情」,"Map088.json,events,10,pages,9,list,12,parameters,0"
女人,"Map088.json,events,10,pages,9,list,14,parameters,0"
「只是……有时候会被受困于后遗症的人,"Map088.json,events,10,pages,9,list,15,parameters,0"
袭击。如果不是以前的冒险家的话，,"Map088.json,events,10,pages,9,list,16,parameters,0"
现在可能已经很危险了……」,"Map088.json,events,10,pages,9,list,17,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,9,list,20,parameters,0"
「（被袭击了吗）」,"Map088.json,events,10,pages,9,list,21,parameters,0"
即使被袭击，也能抵抗下来。,"Map088.json,events,10,pages,9,list,23,parameters,0"
以人类的力量，无法与魅魔相抗衡。,"Map088.json,events,10,pages,9,list,24,parameters,0"
但是……如果没有力量,"Map088.json,events,10,pages,9,list,25,parameters,0"
现在可能已经被做了各种事情。更何况是孩子的身体。,"Map088.json,events,10,pages,9,list,26,parameters,0"
相反，如果还有袭击人类的欲望……？,"Map088.json,events,10,pages,9,list,28,parameters,0"
虽然没有同化的作用,"Map088.json,events,10,pages,9,list,29,parameters,0"
但可能会对人们进行（性）袭击。,"Map088.json,events,10,pages,9,list,30,parameters,0"
孩子袭击孩子，孩子袭击成年人的情景。,"Map088.json,events,10,pages,9,list,31,parameters,0"
……只是身体变了，并没有后遗症。,"Map088.json,events,10,pages,9,list,33,parameters,0"
自己在某种意义上，是幸运的吧？,"Map088.json,events,10,pages,9,list,34,parameters,0"
她这样想着。,"Map088.json,events,10,pages,9,list,35,parameters,0"
否,"Map088.json,events,10,pages,9,list,37,parameters,1"
男人,"Map088.json,events,10,pages,10,list,5,parameters,0"
「终于开自己的店了。,"Map088.json,events,10,pages,10,list,6,parameters,0"
我一直很喜欢花，开花店是我的梦想。,"Map088.json,events,10,pages,10,list,7,parameters,0"
\!……你，要不要在这里当售货员？」,"Map088.json,events,10,pages,10,list,8,parameters,0"
男人,"Map088.json,events,10,pages,10,list,10,parameters,0"
「薪水的话……嗯，就这个水平吧。,"Map088.json,events,10,pages,10,list,11,parameters,0"
怎么样？我觉得还不错」,"Map088.json,events,10,pages,10,list,12,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,10,list,14,parameters,0"
「诶……？,"Map088.json,events,10,pages,10,list,15,parameters,0"
（虽然不算差……）,"Map088.json,events,10,pages,10,list,16,parameters,0"
嗯，是的……」,"Map088.json,events,10,pages,10,list,17,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,10,list,21,parameters,0"
「（无论如何两个月……,"Map088.json,events,10,pages,10,list,22,parameters,0"
虽然受教会的人照顾，,"Map088.json,events,10,pages,10,list,23,parameters,0"
但如果不工作而是宅在家里的话，会感到抱歉）」,"Map088.json,events,10,pages,10,list,24,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,10,list,26,parameters,0"
「（还要考虑恢复原状的事情。,"Map088.json,events,10,pages,10,list,27,parameters,0"
现在是存钱，积攒冒险的资金的时候）」,"Map088.json,events,10,pages,10,list,28,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,10,list,31,parameters,0"
「那么……请多关照」,"Map088.json,events,10,pages,10,list,32,parameters,0"
男人,"Map088.json,events,10,pages,10,list,35,parameters,0"
「真的吗！？,"Map088.json,events,10,pages,10,list,36,parameters,0"
有你这样的孩子，客人也会高兴的。,"Map088.json,events,10,pages,10,list,37,parameters,0"
好～，我有了干劲！」,"Map088.json,events,10,pages,10,list,38,parameters,0"
男人,"Map088.json,events,10,pages,10,list,40,parameters,0"
「虽然有点突然，从今天开始拜托了。,"Map088.json,events,10,pages,10,list,41,parameters,0"
店里还没有整理好呢」,"Map088.json,events,10,pages,10,list,42,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,10,list,45,parameters,0"
「好、好的！」,"Map088.json,events,10,pages,10,list,46,parameters,0"
――几周后。,"Map088.json,events,10,pages,10,list,53,parameters,0"
老人,"Map088.json,events,11,name"
老人,"Map088.json,events,11,pages,0,list,1,parameters,0"
「计划在这里建个小屋。,"Map088.json,events,11,pages,0,list,2,parameters,0"
嘛，我还是一直保持在工作状态！」,"Map088.json,events,11,pages,0,list,3,parameters,0"
清彦,"Map088.json,events,11,pages,0,list,5,parameters,0"
「（真是精神矍铄的老爷爷）」,"Map088.json,events,11,pages,0,list,6,parameters,0"
老人,"Map088.json,events,11,pages,1,list,1,parameters,0"
「计划在这里建个小屋。,"Map088.json,events,11,pages,1,list,2,parameters,0"
嘛，我还是一直保持在工作状态！」,"Map088.json,events,11,pages,1,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,11,pages,1,list,5,parameters,0"
「（真是精神矍铄的老爷爷）」,"Map088.json,events,11,pages,1,list,6,parameters,0"
老人,"Map088.json,events,11,pages,2,list,1,parameters,0"
「计划在这里建个小屋。,"Map088.json,events,11,pages,2,list,2,parameters,0"
嘛，我还是一直保持在工作状态！」,"Map088.json,events,11,pages,2,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,11,pages,2,list,5,parameters,0"
「（……血液循环很好。,"Map088.json,events,11,pages,2,list,6,parameters,0"
虽然有些衰老，但肌肉力量还保持着吗？,"Map088.json,events,11,pages,2,list,7,parameters,0"
身体年龄可能是50多岁）」,"Map088.json,events,11,pages,2,list,8,parameters,0"
老人,"Map088.json,events,11,pages,3,list,1,parameters,0"
「计划在这里建个小屋。,"Map088.json,events,11,pages,3,list,2,parameters,0"
嘛，我还是一直保持在工作状态！」,"Map088.json,events,11,pages,3,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,11,pages,3,list,5,parameters,0"
「（真是精神矍铄的老爷爷。,"Map088.json,events,11,pages,3,list,6,parameters,0"
虽然腰有点弯曲,"Map088.json,events,11,pages,3,list,7,parameters,0"
与同龄人相比……还是挺直的）」,"Map088.json,events,11,pages,3,list,8,parameters,0"
老人,"Map088.json,events,11,pages,4,list,1,parameters,0"
「计划在这里建个小屋。,"Map088.json,events,11,pages,4,list,2,parameters,0"
嘛，我还是一直保持在工作状态！」,"Map088.json,events,11,pages,4,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,11,pages,4,list,5,parameters,0"
「（真是精神矍铄的老爷爷。,"Map088.json,events,11,pages,4,list,6,parameters,0"
虽然腰有点弯曲,"Map088.json,events,11,pages,4,list,7,parameters,0"
与同龄人相比……还是挺直的）」,"Map088.json,events,11,pages,4,list,8,parameters,0"
老人,"Map088.json,events,11,pages,5,list,1,parameters,0"
「计划在这里建个小屋。,"Map088.json,events,11,pages,5,list,2,parameters,0"
嘛，我还是一直保持在工作状态！」,"Map088.json,events,11,pages,5,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,11,pages,5,list,5,parameters,0"
「（真是精神矍铄的老爷爷。,"Map088.json,events,11,pages,5,list,6,parameters,0"
虽然不能使用魔法，但仍然健康,"Map088.json,events,11,pages,5,list,7,parameters,0"
每天都有很好的健康管理吧？）」,"Map088.json,events,11,pages,5,list,8,parameters,0"
老人,"Map088.json,events,11,pages,6,list,1,parameters,0"
「计划在这里建个小屋。,"Map088.json,events,11,pages,6,list,2,parameters,0"
嘛，我还是一直保持在工作状态！」,"Map088.json,events,11,pages,6,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,11,pages,6,list,5,parameters,0"
「（真是精神矍铄。,"Map088.json,events,11,pages,6,list,6,parameters,0"
……人类的身体真好啊）」,"Map088.json,events,11,pages,6,list,7,parameters,0"
女性,"Map088.json,events,11,pages,7,list,1,parameters,0"
「年轻的身体真好。,"Map088.json,events,11,pages,7,list,2,parameters,0"
本来，我认为人不应该变年轻……。,"Map088.json,events,11,pages,7,list,3,parameters,0"
实际上，也不坏」,"Map088.json,events,11,pages,7,list,4,parameters,0"
\C[27]清彦,"Map088.json,events,11,pages,7,list,6,parameters,0"
「（精神矍铄的女性。,"Map088.json,events,11,pages,7,list,7,parameters,0"
是原来的男性吗，还是没有抵触露出皮肤,"Map088.json,events,11,pages,7,list,8,parameters,0"
真是很大胆的打扮……\.\.我不该说这个）」,"Map088.json,events,11,pages,7,list,9,parameters,0"
女性,"Map088.json,events,11,pages,8,list,1,parameters,0"
「年轻的身体真好。,"Map088.json,events,11,pages,8,list,2,parameters,0"
本来，我认为人不应该变年轻……。,"Map088.json,events,11,pages,8,list,3,parameters,0"
实际上，也不坏」,"Map088.json,events,11,pages,8,list,4,parameters,0"
\C[27]清彦,"Map088.json,events,11,pages,8,list,6,parameters,0"
「（换了这个身体几天。,"Map088.json,events,11,pages,8,list,7,parameters,0"
但是肌肉已经开始增长……,"Map088.json,events,11,pages,8,list,8,parameters,0"
这个人平时锻炼多少啊）」,"Map088.json,events,11,pages,8,list,9,parameters,0"
清彦,"Map088.json,events,12,pages,0,list,1,parameters,0"
「锁着呢」,"Map088.json,events,12,pages,0,list,2,parameters,0"
\C[27]清彦,"Map088.json,events,12,pages,1,list,1,parameters,0"
「锁着呢」,"Map088.json,events,12,pages,1,list,2,parameters,0"
\C[27]清彦,"Map088.json,events,12,pages,2,list,1,parameters,0"
「门锁上了……\!嗯」,"Map088.json,events,12,pages,2,list,2,parameters,0"
从里面传来一股奇怪的气味。,"Map088.json,events,12,pages,2,list,4,parameters,0"
香水……不对，这个是。,"Map088.json,events,12,pages,2,list,5,parameters,0"
\C[27]清彦,"Map088.json,events,12,pages,2,list,7,parameters,0"
「血……？,"Map088.json,events,12,pages,2,list,8,parameters,0"
这里是医院，不对吧……」,"Map088.json,events,12,pages,2,list,9,parameters,0"
也许最好不要再深入调查了。,"Map088.json,events,12,pages,2,list,14,parameters,0"
如果探头进去，接下来会发生什么呢。,"Map088.json,events,12,pages,2,list,15,parameters,0"
我选择假装没看见她。,"Map088.json,events,12,pages,2,list,16,parameters,0"
旁边店铺的愤怒男子,"Map088.json,events,13,name"
男性,"Map088.json,events,13,pages,0,list,1,parameters,0"
「真是的……明明不用在隔壁开同样的店。,"Map088.json,events,13,pages,0,list,2,parameters,0"
什么近日开业，我要反击你」,"Map088.json,events,13,pages,0,list,3,parameters,0"
清彦,"Map088.json,events,13,pages,0,list,5,parameters,0"
「（做生意也不容易啊……）」,"Map088.json,events,13,pages,0,list,6,parameters,0"
男性,"Map088.json,events,13,pages,1,list,1,parameters,0"
「真是的……明明不用在隔壁开同样的店。,"Map088.json,events,13,pages,1,list,2,parameters,0"
什么近日开业，我要反击你」,"Map088.json,events,13,pages,1,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,1,list,5,parameters,0"
「（做生意也不容易啊……）」,"Map088.json,events,13,pages,1,list,6,parameters,0"
男性,"Map088.json,events,13,pages,2,list,1,parameters,0"
「真是的……明明不用在隔壁开同样的店。,"Map088.json,events,13,pages,2,list,2,parameters,0"
什么近日开业，我要反击你」,"Map088.json,events,13,pages,2,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,2,list,5,parameters,0"
「（脑袋里血液上涌。,"Map088.json,events,13,pages,2,list,6,parameters,0"
看起来很生气。,"Map088.json,events,13,pages,2,list,7,parameters,0"
肯定会发生麻烦……）」,"Map088.json,events,13,pages,2,list,8,parameters,0"
男性,"Map088.json,events,13,pages,3,list,1,parameters,0"
「真是的……明明不用在隔壁开同样的店。,"Map088.json,events,13,pages,3,list,2,parameters,0"
什么近日开业，我要反击你」,"Map088.json,events,13,pages,3,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,3,list,5,parameters,0"
「（做生意也不容易啊……）」,"Map088.json,events,13,pages,3,list,6,parameters,0"
男性,"Map088.json,events,13,pages,4,list,1,parameters,0"
「真是的……明明不用在隔壁开同样的店。,"Map088.json,events,13,pages,4,list,2,parameters,0"
什么近日开业，我要反击你」,"Map088.json,events,13,pages,4,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,4,list,5,parameters,0"
「（做生意也不容易啊……）」,"Map088.json,events,13,pages,4,list,6,parameters,0"
男性,"Map088.json,events,13,pages,5,list,1,parameters,0"
「真是的……明明不用在隔壁开同样的店。,"Map088.json,events,13,pages,5,list,2,parameters,0"
什么近日开业，我要反击你」,"Map088.json,events,13,pages,5,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,5,list,5,parameters,0"
「（做生意也不容易啊……）啊」,"Map088.json,events,13,pages,5,list,6,parameters,0"
看到了。也闻到了。,"Map088.json,events,13,pages,5,list,8,parameters,0"
那个香味……那个――。,"Map088.json,events,13,pages,5,list,9,parameters,0"
男性,"Map088.json,events,13,pages,5,list,11,parameters,0"
「嗯？,"Map088.json,events,13,pages,5,list,12,parameters,0"
对、对不起。有什么事吗？」,"Map088.json,events,13,pages,5,list,13,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,5,list,15,parameters,0"
「油炸豆腐，那里有吗？」,"Map088.json,events,13,pages,5,list,16,parameters,0"
男性,"Map088.json,events,13,pages,5,list,20,parameters,0"
「嗯，这边有……」,"Map088.json,events,13,pages,5,list,21,parameters,0"
男性,"Map088.json,events,13,pages,5,list,25,parameters,0"
「怎么样，今天早上进货的东西。,"Map088.json,events,13,pages,5,list,26,parameters,0"
以海鲜为主，偶尔也会进些这种东西。,"Map088.json,events,13,pages,5,list,27,parameters,0"
感觉就像是偶然进货的一样」,"Map088.json,events,13,pages,5,list,28,parameters,0"
那时觉得只是普通的味道。,"Map088.json,events,13,pages,5,list,32,parameters,0"
但现在不同了……！,"Map088.json,events,13,pages,5,list,33,parameters,0"
可以说是终极的一品了……！,"Map088.json,events,13,pages,5,list,34,parameters,0"
这种东西，只有期待。,"Map088.json,events,13,pages,5,list,35,parameters,0"
实际看到时，好像发光一样。,"Map088.json,events,13,pages,5,list,39,parameters,0"
可以再次享受那个味道……！,"Map088.json,events,13,pages,5,list,40,parameters,0"
这种东西，只有期待！,"Map088.json,events,13,pages,5,list,41,parameters,0"
虽然几乎没有吃过，但味道浮现在脑海中。,"Map088.json,events,13,pages,5,list,47,parameters,0"
无论如何都是美味的食物。,"Map088.json,events,13,pages,5,list,48,parameters,0"
这种东西，只有期待……！,"Map088.json,events,13,pages,5,list,49,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,5,list,53,parameters,0"
「全部给我」,"Map088.json,events,13,pages,5,list,54,parameters,0"
男性,"Map088.json,events,13,pages,5,list,57,parameters,0"
「全部……！？\!,"Map088.json,events,13,pages,5,list,58,parameters,0"
谢、谢谢！,"Map088.json,events,13,pages,5,list,59,parameters,0"
这次有20张，拿去吧」,"Map088.json,events,13,pages,5,list,60,parameters,0"
大量购买了油炸豆腐！,"Map088.json,events,13,pages,5,list,63,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,5,list,66,parameters,0"
「（今天是油炸豆腐派对吗。,"Map088.json,events,13,pages,5,list,67,parameters,0"
大妖狐也会很高兴吧）」,"Map088.json,events,13,pages,5,list,68,parameters,0"
男性,"Map088.json,events,13,pages,5,list,71,parameters,0"
「（微笑着，耳朵和尾巴摇晃着。,"Map088.json,events,13,pages,5,list,72,parameters,0"
这么想吃这个吗。,"Map088.json,events,13,pages,5,list,73,parameters,0"
……魔物娘的感性，真是无法理解）」,"Map088.json,events,13,pages,5,list,74,parameters,0"
男性,"Map088.json,events,13,pages,6,list,1,parameters,0"
「欢迎光临。,"Map088.json,events,13,pages,6,list,2,parameters,0"
如果油炸豆腐再次进货，我会告诉您的」,"Map088.json,events,13,pages,6,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,6,list,5,parameters,0"
「请务必告诉我」,"Map088.json,events,13,pages,6,list,6,parameters,0"
男性,"Map088.json,events,13,pages,7,list,1,parameters,0"
「欢迎光临。,"Map088.json,events,13,pages,7,list,2,parameters,0"
如果油炸豆腐再次进货，我会告诉您的」,"Map088.json,events,13,pages,7,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,7,list,5,parameters,0"
「请务必告诉我」,"Map088.json,events,13,pages,7,list,6,parameters,0"
男性,"Map088.json,events,13,pages,8,list,2,parameters,0"
「欢迎光临。,"Map088.json,events,13,pages,8,list,3,parameters,0"
这里主要销售鱼类。,"Map088.json,events,13,pages,8,list,4,parameters,0"
哈比，要来一份吗？」,"Map088.json,events,13,pages,8,list,5,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,8,list,7,parameters,0"
「鱼啊……」,"Map088.json,events,13,pages,8,list,8,parameters,0"
看到男人身后排列着大量的鱼。,"Map088.json,events,13,pages,8,list,24,parameters,0"
五颜六色的鱼和贝类都摆在那里，看起来很美味。,"Map088.json,events,13,pages,8,list,25,parameters,0"
不知不觉间，我咽了口水。,"Map088.json,events,13,pages,8,list,26,parameters,0"
用爪子抓住一条鱼，带回巢穴吃掉。,"Map088.json,events,13,pages,8,list,30,parameters,0"
给孩子们也很重要。,"Map088.json,events,13,pages,8,list,31,parameters,0"
当然，我自己也可以吃。,"Map088.json,events,13,pages,8,list,32,parameters,0"
鱼是哈比的重要营养食物——。,"Map088.json,events,13,pages,8,list,33,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,8,list,36,parameters,0"
「（……！不对。,"Map088.json,events,13,pages,8,list,37,parameters,0"
人类也吃鱼，我也不讨厌鱼。,"Map088.json,events,13,pages,8,list,38,parameters,0"
绝对不是被哈比带歪了……嗯）」,"Map088.json,events,13,pages,8,list,39,parameters,0"
男人,"Map088.json,events,13,pages,8,list,42,parameters,0"
「（刚才还露出美味的表情,"Map088.json,events,13,pages,8,list,43,parameters,0"
突然发现了什么，吓了一跳。,"Map088.json,events,13,pages,8,list,44,parameters,0"
是在减肥吗……？只是问问而已）」,"Map088.json,events,13,pages,8,list,45,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,8,list,62,parameters,0"
「对不起，下次再来吧……」,"Map088.json,events,13,pages,8,list,63,parameters,0"
男人,"Map088.json,events,13,pages,8,list,65,parameters,0"
「没问题。,"Map088.json,events,13,pages,8,list,66,parameters,0"
等你再来」,"Map088.json,events,13,pages,8,list,67,parameters,0"
继续待在这里，从某种意义上说是危险的。,"Map088.json,events,13,pages,8,list,69,parameters,0"
决定尽早离开。,"Map088.json,events,13,pages,8,list,70,parameters,0"
男人,"Map088.json,events,13,pages,9,list,1,parameters,0"
「请再来」,"Map088.json,events,13,pages,9,list,2,parameters,0"
女人,"Map088.json,events,13,pages,10,list,2,parameters,0"
「现在也能做些工作。,"Map088.json,events,13,pages,10,list,3,parameters,0"
但是……拿着箱子的时候胸部碍事……,"Map088.json,events,13,pages,10,list,4,parameters,0"
魅魔小姐你怎么想？」,"Map088.json,events,13,pages,10,list,5,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,10,list,7,parameters,0"
「啊……」,"Map088.json,events,13,pages,10,list,8,parameters,0"
真是碍事。\!,"Map088.json,events,13,pages,10,list,10,parameters,0"
多少次我都这么想过，这种东西不应该拿。,"Map088.json,events,13,pages,10,list,11,parameters,0"
只会引人注目，没有任何好处。,"Map088.json,events,13,pages,10,list,12,parameters,0"
女人,"Map088.json,events,13,pages,10,list,14,parameters,0"
「是啊，真是碍事。,"Map088.json,events,13,pages,10,list,15,parameters,0"
但是看起来还是相当舒服的……,"Map088.json,events,13,pages,10,list,16,parameters,0"
然后，我有点想法」,"Map088.json,events,13,pages,10,list,17,parameters,0"
女人,"Map088.json,events,13,pages,10,list,20,parameters,0"
「我们的这个，给大家带来了梦想」,"Map088.json,events,13,pages,10,list,21,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,10,list,24,parameters,0"
「诶」,"Map088.json,events,13,pages,10,list,25,parameters,0"
女人,"Map088.json,events,13,pages,10,list,27,parameters,0"
「只要有这个，大家的目光就会聚集,"Map088.json,events,13,pages,10,list,28,parameters,0"
只要这个动一下，大家的目光就会闪耀,"Map088.json,events,13,pages,10,list,29,parameters,0"
只要靠近这个，大家的目光就会睁大」,"Map088.json,events,13,pages,10,list,30,parameters,0"
女人,"Map088.json,events,13,pages,10,list,32,parameters,0"
「给人带来梦想的工作……最棒的吧」,"Map088.json,events,13,pages,10,list,33,parameters,0"
\C[27]这个人在说什么呢。\C[0]\!,"Map088.json,events,13,pages,10,list,36,parameters,0"
嘛……也不是完全不明白她想表达什么。,"Map088.json,events,13,pages,10,list,37,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,10,list,39,parameters,0"
「（给人带来梦想吗……）」,"Map088.json,events,13,pages,10,list,40,parameters,0"
虽然从来没有考虑过这种事,"Map088.json,events,13,pages,10,list,42,parameters,0"
但这样的想法也挺有趣的……也许。,"Map088.json,events,13,pages,10,list,43,parameters,0"
\.\.只是，除了胸部以外，她想给予别的。,"Map088.json,events,13,pages,10,list,44,parameters,0"
是否再次观看事件？,"Map088.json,events,13,pages,11,list,1,parameters,0"
是,"Map088.json,events,13,pages,11,list,2,parameters,0,0"
否,"Map088.json,events,13,pages,11,list,2,parameters,0,1"
是,"Map088.json,events,13,pages,11,list,3,parameters,1"
女人,"Map088.json,events,13,pages,11,list,6,parameters,0"
「现在也能做些工作。,"Map088.json,events,13,pages,11,list,7,parameters,0"
但是……拿着箱子的时候胸部碍事……,"Map088.json,events,13,pages,11,list,8,parameters,0"
魅魔小姐你怎么想？」,"Map088.json,events,13,pages,11,list,9,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,11,list,11,parameters,0"
「啊……」,"Map088.json,events,13,pages,11,list,12,parameters,0"
真是碍事。\!,"Map088.json,events,13,pages,11,list,14,parameters,0"
多少次我都这么想过，这种东西不应该拿。,"Map088.json,events,13,pages,11,list,15,parameters,0"
只会引人注目，没有任何好处。,"Map088.json,events,13,pages,11,list,16,parameters,0"
女人,"Map088.json,events,13,pages,11,list,18,parameters,0"
「是啊，真是碍事。,"Map088.json,events,13,pages,11,list,19,parameters,0"
但是看起来还是相当舒服的……,"Map088.json,events,13,pages,11,list,20,parameters,0"
然后，我有点想法」,"Map088.json,events,13,pages,11,list,21,parameters,0"
女人,"Map088.json,events,13,pages,11,list,24,parameters,0"
「我们的这个，给大家带来了梦想」,"Map088.json,events,13,pages,11,list,25,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,11,list,28,parameters,0"
「诶」,"Map088.json,events,13,pages,11,list,29,parameters,0"
女人,"Map088.json,events,13,pages,11,list,31,parameters,0"
「只要有这个，大家的目光就会聚集,"Map088.json,events,13,pages,11,list,32,parameters,0"
只要这个动一下，大家的目光就会闪耀,"Map088.json,events,13,pages,11,list,33,parameters,0"
只要靠近这个，大家的目光就会睁大」,"Map088.json,events,13,pages,11,list,34,parameters,0"
女人,"Map088.json,events,13,pages,11,list,36,parameters,0"
「给人带来梦想的工作……最棒的吧」,"Map088.json,events,13,pages,11,list,37,parameters,0"
\C[27]这个人在说什么呢。\C[0]\!,"Map088.json,events,13,pages,11,list,40,parameters,0"
嘛……也不是完全不明白她想表达什么。,"Map088.json,events,13,pages,11,list,41,parameters,0"
\C[27]清彦,"Map088.json,events,13,pages,11,list,43,parameters,0"
「（给人带来梦想吗……）」,"Map088.json,events,13,pages,11,list,44,parameters,0"
虽然从来没有考虑过这种事,"Map088.json,events,13,pages,11,list,46,parameters,0"
但这样的想法也挺有趣的……也许。,"Map088.json,events,13,pages,11,list,47,parameters,0"
\.\.只是，除了胸部以外，她想给予别的。,"Map088.json,events,13,pages,11,list,48,parameters,0"
