猫耳娘,"Map011.json,events,2,name"
\C[27]清彦,"Map011.json,events,6,pages,8,list,53,parameters,0"
「（……下次再来一次就踢飞他）」,"Map011.json,events,6,pages,8,list,54,parameters,0"
不是打，而是踢飞。这个词先出现了。,"Map011.json,events,6,pages,8,list,57,parameters,0"
这也是哈比鸟化带来的影响吗……。,"Map011.json,events,6,pages,8,list,58,parameters,0"
老爷爷,"Map011.json,events,6,pages,9,list,1,parameters,0"
「以后还要拜托你」,"Map011.json,events,6,pages,9,list,2,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,9,list,4,parameters,0"
「（无视，无视）」,"Map011.json,events,6,pages,9,list,5,parameters,0"
老爷爷,"Map011.json,events,6,pages,10,list,1,parameters,0"
「我还是第一次见到这家店长那样的表情呢」,"Map011.json,events,6,pages,10,list,2,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,11,list,4,parameters,0"
「呀！？」,"Map011.json,events,6,pages,11,list,5,parameters,0"
少女的小手轻抚着她的屁股。,"Map011.json,events,6,pages,11,list,7,parameters,0"
幸运（？）的是，因为手小，没有被揉捏。,"Map011.json,events,6,pages,11,list,8,parameters,0"
孩子,"Map011.json,events,6,pages,11,list,10,parameters,0"
「呵呵呵……姐姐的屁股最棒了」,"Map011.json,events,6,pages,11,list,11,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,11,list,14,parameters,0"
「什……！？」,"Map011.json,events,6,pages,11,list,15,parameters,0"
外表完全是一个幼小的少女。,"Map011.json,events,6,pages,11,list,17,parameters,0"
但言行举止和眼神完全是色情大叔的样子。,"Map011.json,events,6,pages,11,list,18,parameters,0"
孩子,"Map011.json,events,6,pages,11,list,20,parameters,0"
「虽然变成了这么小的女孩,"Map011.json,events,6,pages,11,list,21,parameters,0"
但我真期待成长啊，可以近距离看到屁股。,"Map011.json,events,6,pages,11,list,22,parameters,0"
能重新开始人生真是太棒了～」,"Map011.json,events,6,pages,11,list,23,parameters,0"
说着，一口气喝光了手中的啤酒。,"Map011.json,events,6,pages,11,list,25,parameters,0"
虽然希望这是无酒精的类型……,"Map011.json,events,6,pages,11,list,26,parameters,0"
孩子,"Map011.json,events,6,pages,11,list,28,parameters,0"
「这样合法地触摸各种女性的屁股,"Map011.json,events,6,pages,11,list,29,parameters,0"
人生最棒啊！！！」,"Map011.json,events,6,pages,11,list,30,parameters,0"
哈哈哈！少女特有的尖锐笑声响起。,"Map011.json,events,6,pages,11,list,32,parameters,0"
……就这样变成了日常。,"Map011.json,events,6,pages,11,list,33,parameters,0"
她不禁头晕目眩。,"Map011.json,events,6,pages,11,list,34,parameters,0"
孩子,"Map011.json,events,6,pages,12,list,1,parameters,0"
「姐姐～，让我摸摸屁股～♪」,"Map011.json,events,6,pages,12,list,2,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,12,list,4,parameters,0"
「（无视，无视）」,"Map011.json,events,6,pages,12,list,5,parameters,0"
孩子,"Map011.json,events,6,pages,13,list,2,parameters,0"
「嗯……虽然很幼小，但是好屁股啊。,"Map011.json,events,6,pages,13,list,3,parameters,0"
期待十年后的样子」,"Map011.json,events,6,pages,13,list,4,parameters,0"
孩子，还是比现在更小的少女的性骚扰言论。,"Map011.json,events,6,pages,13,list,7,parameters,0"
眼前的少女，完全就是色情大叔的样子。,"Map011.json,events,6,pages,13,list,8,parameters,0"
虽然变年轻了，性别也变了,"Map011.json,events,6,pages,13,list,9,parameters,0"
但我觉得稍微端庄一点也没关系……,"Map011.json,events,6,pages,13,list,10,parameters,0"
孩子,"Map011.json,events,6,pages,13,list,12,parameters,0"
「你也可以摸我的哦？,"Map011.json,events,6,pages,13,list,13,parameters,0"
和姐姐的一样好吗？」,"Map011.json,events,6,pages,13,list,14,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,13,list,16,parameters,0"
（先无视吧）」,"Map011.json,events,6,pages,13,list,18,parameters,0"
孩子,"Map011.json,events,6,pages,14,list,2,parameters,0"
「你也可以摸我的哦？,"Map011.json,events,6,pages,14,list,3,parameters,0"
和姐姐的一样好吗？」,"Map011.json,events,6,pages,14,list,4,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,14,list,6,parameters,0"
（先无视吧）」,"Map011.json,events,6,pages,14,list,8,parameters,0"
天使小姐,"Map011.json,events,7,name"
女性店员,"Map011.json,events,7,pages,0,list,1,parameters,0"
「这件衣服感觉不太习惯……」,"Map011.json,events,7,pages,0,list,2,parameters,0"
女性店员,"Map011.json,events,7,pages,1,list,1,parameters,0"
「这件衣服感觉不太习惯……」,"Map011.json,events,7,pages,1,list,2,parameters,0"
\C[27]清彦,"Map011.json,events,7,pages,1,list,4,parameters,0"
「（男人……？女人……？到底是哪个。,"Map011.json,events,7,pages,1,list,5,parameters,0"
外表是女人，但是有男人的气息。,"Map011.json,events,7,pages,1,list,6,parameters,0"
……难道说，也是变成了类似的样子？）」,"Map011.json,events,7,pages,1,list,7,parameters,0"
女性店员,"Map011.json,events,7,pages,2,list,2,parameters,0"
「欢迎光临～」,"Map011.json,events,7,pages,2,list,3,parameters,0"
女性店员,"Map011.json,events,7,pages,3,list,1,parameters,0"
「这件衣服感觉不太习惯……」,"Map011.json,events,7,pages,3,list,2,parameters,0"
\C[27]清彦,"Map011.json,events,7,pages,3,list,4,parameters,0"
「（那背后的翅膀……应该和这对翅膀一样吧）」,"Map011.json,events,7,pages,3,list,5,parameters,0"
女性店员,"Map011.json,events,7,pages,4,list,1,parameters,0"
「店长慌慌张张地离开了，怎么了呢」,"Map011.json,events,7,pages,4,list,2,parameters,0"
女性店员,"Map011.json,events,7,pages,5,list,1,parameters,0"
「清彦先生，辛苦了」,"Map011.json,events,7,pages,5,list,2,parameters,0"
\C[27]清彦,"Map011.json,events,7,pages,5,list,4,parameters,0"
「辛苦了」,"Map011.json,events,7,pages,5,list,5,parameters,0"
女性店员,"Map011.json,events,7,pages,5,list,7,parameters,0"
「（魅魔的人们，胸部都很大，但是那些从人类时代起就比魅魔的胸部还大的人会怎样呢……）」,"Map011.json,events,7,pages,5,list,8,parameters,0"
\C[27]清彦,"Map011.json,events,7,pages,5,list,10,parameters,0"
「（大家都像原来的男人一样，真是让人在意啊。,"Map011.json,events,7,pages,5,list,11,parameters,0"
不过，至少能不能换套衣服呢）」,"Map011.json,events,7,pages,5,list,12,parameters,0"
女性店员,"Map011.json,events,7,pages,6,list,1,parameters,0"
「清彦先生，辛苦了」,"Map011.json,events,7,pages,6,list,2,parameters,0"
\C[27]清彦,"Map011.json,events,7,pages,6,list,4,parameters,0"
「啊……虽然之前也说过，但现在的我，这个样子,"Map011.json,events,7,pages,6,list,5,parameters,0"
也没必要用敬语了。,"Map011.json,events,7,pages,6,list,6,parameters,0"
店长也说『很麻烦』」,"Map011.json,events,7,pages,6,list,7,parameters,0"
女性店员,"Map011.json,events,7,pages,6,list,9,parameters,0"
「虽然这么说,"Map011.json,events,7,pages,6,list,10,parameters,0"
清彦先生比我大很多岁呢……。,"Map011.json,events,7,pages,6,list,11,parameters,0"
真的不行啊」,"Map011.json,events,7,pages,6,list,12,parameters,0"
真是麻烦。,"Map011.json,events,7,pages,6,list,14,parameters,0"
基本上成年人应该对任何人都使用敬语。,"Map011.json,events,7,pages,6,list,15,parameters,0"
但是，这个店员的年龄是十几岁中期，,"Map011.json,events,7,pages,6,list,16,parameters,0"
真是令人惊讶。为什么会成为店长的猎物呢。,"Map011.json,events,7,pages,6,list,17,parameters,0"
\C[27]清彦,"Map011.json,events,7,pages,6,list,19,parameters,0"
「（前几天幼女还在教导成年女性,"Map011.json,events,7,pages,6,list,20,parameters,0"
……如果陌生人看到，会觉得这个城市很奇怪吧）」,"Map011.json,events,7,pages,6,list,21,parameters,0"
店长,"Map011.json,events,9,pages,0,list,2,parameters,0"
「好了，这个给你」,"Map011.json,events,9,pages,0,list,3,parameters,0"
店长递给他的盒子放在桌子上。,"Map011.json,events,9,pages,0,list,7,parameters,0"
那天，他只是去了备用旅馆过夜而已。,"Map011.json,events,9,pages,0,list,8,parameters,0"
要拿起比自己身高还低的东西,"Map011.json,events,9,pages,0,list,10,parameters,0"
必须俯视。,"Map011.json,events,9,pages,0,list,11,parameters,0"
当然，眼睛看到的是——。,"Map011.json,events,9,pages,0,list,12,parameters,0"
\C[27]清彦,"Map011.json,events,9,pages,0,list,15,parameters,0"
「呃……」,"Map011.json,events,9,pages,0,list,16,parameters,0"
不习惯。\!,"Map011.json,events,9,pages,0,list,18,parameters,0"
有重量感，挡住视线，每次移动身体都会晃动。,"Map011.json,events,9,pages,0,list,19,parameters,0"
虽然魅魔的身体能力非常强大，,"Map011.json,events,9,pages,0,list,20,parameters,0"
但似乎不会让肩膀酸痛……。,"Map011.json,events,9,pages,0,list,21,parameters,0"
店长,"Map011.json,events,9,pages,0,list,23,parameters,0"
「快点适应吧。,"Map011.json,events,9,pages,0,list,24,parameters,0"
我们的员工很快就适应了」,"Map011.json,events,9,pages,0,list,25,parameters,0"
\C[27]清彦,"Map011.json,events,9,pages,0,list,28,parameters,0"
「虽然这么说，这种服装能不能换掉？」,"Map011.json,events,9,pages,0,list,29,parameters,0"
是的。,"Map011.json,events,9,pages,0,list,31,parameters,0"
至少普通的衣服不会露出乳沟。,"Map011.json,events,9,pages,0,list,32,parameters,0"
但是……为什么还是穿着那个魅魔的服装呢。,"Map011.json,events,9,pages,0,list,33,parameters,0"
店长,"Map011.json,events,9,pages,0,list,35,parameters,0"
「……研究还需要时间」,"Map011.json,events,9,pages,0,list,36,parameters,0"
不知为何，脱下这件衣服，穿上另一件衣服,"Map011.json,events,9,pages,0,list,39,parameters,0"
却会变回这件衣服。,"Map011.json,events,9,pages,0,list,40,parameters,0"
真是太神秘了……魅魔的身体结构真是谜。,"Map011.json,events,9,pages,0,list,41,parameters,0"
幸运的是，即使是人类也不会想要「把她变成伙伴」。,"Map011.json,events,9,pages,0,list,43,parameters,0"
在剑破碎之前，我想到的是什么呢，已经不记得了。\!,"Map011.json,events,9,pages,0,list,44,parameters,0"
而且……即使人类喝了从尾巴滴下来的体液,"Map011.json,events,9,pages,0,list,45,parameters,0"
身体也不会发生变化。真是太好了。,"Map011.json,events,9,pages,0,list,46,parameters,0"
总之，内在保持着『清彦』，只是外表发生了变化。,"Map011.json,events,9,pages,0,list,48,parameters,0"
如果一个身材如此的魔物娘穿着性感的服装,"Map011.json,events,9,pages,0,list,49,parameters,0"
在城市里徘徊，肯定会引起大量关注……。,"Map011.json,events,9,pages,0,list,50,parameters,0"
店长,"Map011.json,events,9,pages,0,list,52,parameters,0"
「现在居民九成九都是女性。,"Map011.json,events,9,pages,0,list,53,parameters,0"
所以即使暴露度高一些，也不会引起注意。,"Map011.json,events,9,pages,0,list,54,parameters,0"
放心吧」,"Map011.json,events,9,pages,0,list,55,parameters,0"
\C[27]清彦,"Map011.json,events,9,pages,0,list,58,parameters,0"
「……这可不是安慰」,"Map011.json,events,9,pages,0,list,59,parameters,0"
店长,"Map011.json,events,9,pages,0,list,61,parameters,0"
「那就拜托你了」,"Map011.json,events,9,pages,0,list,62,parameters,0"
\C[27]清彦,"Map011.json,events,9,pages,0,list,65,parameters,0"
「我知道了……」,"Map011.json,events,9,pages,0,list,66,parameters,0"
\C[27]清彦,"Map011.json,events,9,pages,0,list,70,parameters,0"
「（备用旅馆在住宅区的最深处。,"Map011.json,events,9,pages,0,list,71,parameters,0"
做完这个之后再帮忙做饭……,"Map011.json,events,9,pages,0,list,72,parameters,0"
住在这里工作，真是没想到）」,"Map011.json,events,9,pages,0,list,73,parameters,0"
\C[27]清彦,"Map011.json,events,9,pages,0,list,75,parameters,0"
「（魅魔化时的记忆因人而异。,"Map011.json,events,9,pages,0,list,76,parameters,0"
只要不在街上引起奇怪的幻觉就好。,"Map011.json,events,9,pages,0,list,77,parameters,0"
现在已经无法回去了，放弃吧）」,"Map011.json,events,9,pages,0,list,78,parameters,0"
呼。叹了口气。,"Map011.json,events,9,pages,0,list,80,parameters,0"
还要多久才能回去，似乎还需要很长时间。,"Map011.json,events,9,pages,0,list,81,parameters,0"
在那之前，似乎要在这里工作……。,"Map011.json,events,9,pages,0,list,82,parameters,0"
\C[27]清彦,"Map011.json,events,9,pages,0,list,94,parameters,0"
「失礼了，我是清彦」,"Map011.json,events,9,pages,0,list,95,parameters,0"
店长,"Map011.json,events,10,pages,0,list,3,parameters,0"
「好了，这个给你」,"Map011.json,events,10,pages,0,list,4,parameters,0"
店长递给他的盒子放在桌子上。,"Map011.json,events,10,pages,0,list,8,parameters,0"
那天，他只是去了备用旅馆过夜而已。,"Map011.json,events,10,pages,0,list,9,parameters,0"
本来应该是俯视着拿起的包裹。,"Map011.json,events,10,pages,0,list,11,parameters,0"
但是，现在的她可以正面看到盒子。,"Map011.json,events,10,pages,0,list,12,parameters,0"
\C[27]清彦,"Map011.json,events,10,pages,0,list,15,parameters,0"
「嗯……嗯……」,"Map011.json,events,10,pages,0,list,16,parameters,0"
……不方便。\!,"Map011.json,events,10,pages,0,list,18,parameters,0"
大部分物品都是为成年人设计的。,"Map011.json,events,10,pages,0,list,19,parameters,0"
所以这个身体需要站在台子上,"Map011.json,events,10,pages,0,list,20,parameters,0"
或者爬上去，才能完成动作。,"Map011.json,events,10,pages,0,list,21,parameters,0"
店长,"Map011.json,events,10,pages,0,list,24,parameters,0"
「力量相当于魔物娘。\.\.,"Map011.json,events,10,pages,0,list,25,parameters,0"
……不过，以你的身高来说确实不方便呢」,"Map011.json,events,10,pages,0,list,26,parameters,0"
\C[27]清彦,"Map011.json,events,10,pages,0,list,29,parameters,0"
「再次确认孩子的身体是不方便的……。,"Map011.json,events,10,pages,0,list,30,parameters,0"
而且，目前还不知道恢复的目标……,"Map011.json,events,10,pages,0,list,31,parameters,0"
而且，衣服也有点太暴露了」,"Map011.json,events,10,pages,0,list,32,parameters,0"
女孩子可以享受各种服装。,"Map011.json,events,10,pages,0,list,34,parameters,0"
虽然说要穿，但不是像这样接近痴女的打扮,"Map011.json,events,10,pages,0,list,35,parameters,0"
而是想要一套朴素的男孩子风格的衣服。,"Map011.json,events,10,pages,0,list,36,parameters,0"
但是……。,"Map011.json,events,10,pages,0,list,37,parameters,0"
店长,"Map011.json,events,10,pages,0,list,39,parameters,0"
「研究还需要时间。,"Map011.json,events,10,pages,0,list,40,parameters,0"
首先是衣服的研究吧……」,"Map011.json,events,10,pages,0,list,41,parameters,0"
不知为何，脱下这件衣服，穿上另一件衣服,"Map011.json,events,10,pages,0,list,44,parameters,0"
却会变回这件衣服。,"Map011.json,events,10,pages,0,list,45,parameters,0"
真是太神秘了……魅魔的身体结构真是谜。,"Map011.json,events,10,pages,0,list,46,parameters,0"
幸运的是，即使是人类也不会想要「把她变成伙伴」。,"Map011.json,events,10,pages,0,list,48,parameters,0"
在剑破碎之前，我想到的是什么呢，已经不记得了。\!,"Map011.json,events,10,pages,0,list,49,parameters,0"
而且……即使人类喝了从尾巴滴下来的体液,"Map011.json,events,10,pages,0,list,50,parameters,0"
身体也不会发生变化。真是太好了。,"Map011.json,events,10,pages,0,list,51,parameters,0"
内在保持着『清彦』，只是外表发生了变化。,"Map011.json,events,10,pages,0,list,53,parameters,0"
如果一个身材如此的魔物娘穿着这样的衣服,"Map011.json,events,10,pages,0,list,54,parameters,0"
在城市里徘徊，肯定会引起大量关注……。,"Map011.json,events,10,pages,0,list,55,parameters,0"
还好现在是孩子的身体。,"Map011.json,events,10,pages,0,list,56,parameters,0"
店长,"Map011.json,events,10,pages,0,list,58,parameters,0"
「现在居民九成九都是女性。,"Map011.json,events,10,pages,0,list,59,parameters,0"
所以即使暴露度高一些，也不会引起注意。,"Map011.json,events,10,pages,0,list,60,parameters,0"
放心吧」,"Map011.json,events,10,pages,0,list,61,parameters,0"
\C[27]清彦,"Map011.json,events,10,pages,0,list,64,parameters,0"
「……这可不是安慰」,"Map011.json,events,10,pages,0,list,65,parameters,0"
店长,"Map011.json,events,10,pages,0,list,67,parameters,0"
「那就拜托你了」,"Map011.json,events,10,pages,0,list,68,parameters,0"
\C[27]清彦,"Map011.json,events,10,pages,0,list,70,parameters,0"
「我知道了……」,"Map011.json,events,10,pages,0,list,71,parameters,0"
\C[27]清彦,"Map011.json,events,10,pages,0,list,75,parameters,0"
「（备用旅馆在住宅区的最深处。,"Map011.json,events,10,pages,0,list,76,parameters,0"
做完这个之后再帮忙做饭……,"Map011.json,events,10,pages,0,list,77,parameters,0"
住在这里工作，真是没想到）」,"Map011.json,events,10,pages,0,list,78,parameters,0"
\C[27]清彦,"Map011.json,events,10,pages,0,list,80,parameters,0"
「（魅魔化时的记忆因人而异。,"Map011.json,events,10,pages,0,list,81,parameters,0"
只要不在街上引起奇怪的幻觉就好。,"Map011.json,events,10,pages,0,list,82,parameters,0"
现在已经无法回去了，放弃吧）」,"Map011.json,events,10,pages,0,list,83,parameters,0"
呼。叹了口气。,"Map011.json,events,10,pages,0,list,85,parameters,0"
还要多久才能回去，似乎还需要很长时间。,"Map011.json,events,10,pages,0,list,86,parameters,0"
在那之前，似乎要在这里工作……。,"Map011.json,events,10,pages,0,list,87,parameters,0"
力量相当于魔物娘，可以轻松举起重箱子。,"Map011.json,events,10,pages,0,list,89,parameters,0"
但是因为太大了，所以拿起来也很不方便。,"Map011.json,events,10,pages,0,list,90,parameters,0"
她又叹了口气。,"Map011.json,events,10,pages,0,list,91,parameters,0"
\C[27]清彦,"Map011.json,events,10,pages,0,list,103,parameters,0"
「失礼了，我是清彦」,"Map011.json,events,10,pages,0,list,104,parameters,0"
