蝙蝠*2,"Troops.json,1,name"
就好像我什么也没做一样,"Troops.json,18,pages,0,list,106,parameters,0"
常春藤慢慢地靠近……慢慢地。,"Troops.json,18,pages,0,list,107,parameters,0"
\C[27] 清彦,"Troops.json,18,pages,0,list,109,parameters,0"
“嘉希...♡\.\.\.fa...♡”,"Troops.json,18,pages,0,list,110,parameters,0"
轻轻刺激底部...,"Troops.json,18,pages,0,list,112,parameters,0"
\C[27] 清彦,"Troops.json,18,pages,0,list,126,parameters,0"
「是啊……！啊啊♡\.\. 不……♡,"Troops.json,18,pages,0,list,127,parameters,0"
\.\. 不！ ！ ！坏了……♡不……！,"Troops.json,18,pages,0,list,128,parameters,0"
好温暖♡好搞笑♡♡,"Troops.json,18,pages,0,list,129,parameters,0"
我什至不知道这话是不是我自己说的。,"Troops.json,18,pages,0,list,131,parameters,0"
您在寻找乐趣还是寻求帮助？,"Troops.json,18,pages,0,list,132,parameters,0"
从上面、从下面、从尾部看。,"Troops.json,18,pages,0,list,133,parameters,0"
雌性本能地颤抖和喘息。,"Troops.json,18,pages,0,list,134,parameters,0"
再这样下去，她的精神就会崩溃。,"Troops.json,18,pages,0,list,136,parameters,0"
但植物不会停止责备它们。,"Troops.json,18,pages,0,list,137,parameters,0"
纳尼卡突然爆发并把头向后仰去。,"Troops.json,18,pages,0,list,149,parameters,0"
摇晃着身体的同时,"Troops.json,18,pages,0,list,150,parameters,0"
她的意识渐渐消失在黑暗之中。,"Troops.json,18,pages,0,list,151,parameters,0"
我会注意的....,"Troops.json,18,pages,0,list,155,parameters,0"
一棵满意的植物消失了，好像它已经完成了一切。,"Troops.json,18,pages,0,list,156,parameters,0"
她终于成功击败了植物。,"Troops.json,18,pages,0,list,158,parameters,0"
……成功？不对，我能说我打败了吗？,"Troops.json,18,pages,0,list,159,parameters,0"
一切都一团糟,"Troops.json,18,pages,0,list,161,parameters,0"
醒来后会恢复正常吗？,"Troops.json,18,pages,0,list,162,parameters,0"
或许我唯一可以依靠的，就是作为冒险者修炼出来的精神力。,"Troops.json,18,pages,0,list,163,parameters,0"
大妖狐分身,"Troops.json,20,name"
大妖狐,"Troops.json,20,pages,0,list,4,parameters,0"
「哎哟♪ 毛茸茸的～」,"Troops.json,20,pages,0,list,5,parameters,0"
\C[27] 清彦,"Troops.json,20,pages,0,list,7,parameters,0"
当我回过神来时，我已经在她身后了。,"Troops.json,20,pages,0,list,10,parameters,0"
看起来这次攻击很成功，但是……？,"Troops.json,20,pages,0,list,11,parameters,0"
我的眼睛根本跟不上大妖狐的速度。,"Troops.json,20,pages,0,list,12,parameters,0"
么呼。他的尾巴被碰了一下，发出很大的声音。,"Troops.json,20,pages,0,list,13,parameters,0"
但是……我并没有什么特别的感觉。,"Troops.json,20,pages,0,list,15,parameters,0"
不过，轻微的麻木感传过来了。,"Troops.json,20,pages,0,list,16,parameters,0"
被碰触的只是服装的尾部。,"Troops.json,20,pages,0,list,17,parameters,0"
\C[27] 清彦,"Troops.json,20,pages,0,list,20,parameters,0"
「（正好抓到一个背身，为什么不碰她的尾根呢……？,"Troops.json,20,pages,0,list,21,parameters,0"
好吧，让我们尝试一下，冒一次险！ ？ ）”,"Troops.json,20,pages,0,list,22,parameters,0"
敢于触摸,"Troops.json,20,pages,0,list,23,parameters,0,0"
时机成熟时反击,"Troops.json,20,pages,0,list,23,parameters,0,1"
敢于触摸,"Troops.json,20,pages,0,list,24,parameters,1"
\C[27] 清彦,"Troops.json,20,pages,0,list,26,parameters,0"
“（现在！）”,"Troops.json,20,pages,0,list,27,parameters,0"
我现在对尾巴很着迷！ \!,"Troops.json,20,pages,0,list,29,parameters,0"
身体向右一转，强行撕下妖狐的手。,"Troops.json,20,pages,0,list,30,parameters,0"
当她的目光看到大狐狸脸上惊讶的表情后，,"Troops.json,20,pages,0,list,31,parameters,0"
他的右手即将到达其根部。,"Troops.json,20,pages,0,list,32,parameters,0"
大妖狐,"Troops.json,20,pages,0,list,34,parameters,0"
“哇！”,"Troops.json,20,pages,0,list,35,parameters,0"
--\.\.\. 她的右手切向空中。 \!,"Troops.json,20,pages,0,list,37,parameters,0"
大妖狐直接向后跳去。,"Troops.json,20,pages,0,list,38,parameters,0"
然而，跳跃的程度和反应能力并不是人类的壮举。,"Troops.json,20,pages,0,list,39,parameters,0"
……果然，对手强大无比。,"Troops.json,20,pages,0,list,40,parameters,0"
大妖狐,"Troops.json,20,pages,0,list,42,parameters,0"
“你是不是有点惊讶……？,"Troops.json,20,pages,0,list,43,parameters,0"
强行触碰女人的身体是没有好处的吧？,"Troops.json,20,pages,0,list,44,parameters,0"
……哦，原来如此。如果是女孩子之间就好了。”,"Troops.json,20,pages,0,list,45,parameters,0"
\C[27] 太大声了，我不需要说什么。 \C[0]\!,"Troops.json,20,pages,0,list,47,parameters,0"
我心里也是这么想的，但我没有说出来。,"Troops.json,20,pages,0,list,48,parameters,0"
我本来有机会触碰她，但我浪费了。,"Troops.json,20,pages,0,list,49,parameters,0"
更重要的是，现在我已经被回避了，接下来我该怎么办……？,"Troops.json,20,pages,0,list,50,parameters,0"
...我应该用指甲而不是用手触摸它吗？,"Troops.json,20,pages,0,list,52,parameters,0"
这是大狐狸的另一个自我，是时候认真对待它了。有人告诉我。,"Troops.json,20,pages,0,list,53,parameters,0"
就算受伤了应该也没有问题。不要在这里偷工减料！,"Troops.json,20,pages,0,list,54,parameters,0"
时机成熟时反击,"Troops.json,20,pages,0,list,57,parameters,1"
\C[27] 清彦,"Troops.json,20,pages,0,list,59,parameters,0"
“可恶！”,"Troops.json,20,pages,0,list,60,parameters,0"
大妖狐,"Troops.json,20,pages,0,list,63,parameters,0"
「哎呀♪」,"Troops.json,20,pages,0,list,64,parameters,0"
虽然他会适时反击，但却很容易被闪避。,"Troops.json,20,pages,0,list,66,parameters,0"
哪怕是男性清彦的剑攻击。,"Troops.json,20,pages,0,list,67,parameters,0"
这原本是可以避免的。,"Troops.json,20,pages,0,list,68,parameters,0"
她的反应速度之快是人类做不到的。,"Troops.json,20,pages,0,list,69,parameters,0"
\C[27] 清彦,"Troops.json,20,pages,0,list,71,parameters,0"
（按照这个速度，我根本追不上她。,"Troops.json,20,pages,0,list,72,parameters,0"
……就在前面。 （如果从前面过来时把手放在背后）,"Troops.json,20,pages,0,list,73,parameters,0"
大妖狐,"Troops.json,20,pages,0,list,75,parameters,0"
“嗯……我想你并没有想象中那么习惯。,"Troops.json,20,pages,0,list,76,parameters,0"
也许你需要稍微改变一下你的方法？ ”,"Troops.json,20,pages,0,list,77,parameters,0"
\C[27] 清彦,"Troops.json,20,pages,0,list,83,parameters,0"
“可恶！”,"Troops.json,20,pages,0,list,84,parameters,0"
大妖狐,"Troops.json,20,pages,0,list,87,parameters,0"
「哎呀♪」,"Troops.json,20,pages,0,list,88,parameters,0"
这一击很快就被闪避了。,"Troops.json,20,pages,0,list,90,parameters,0"
哪怕是男人的清彦剑,"Troops.json,20,pages,0,list,91,parameters,0"
这本来是很容易避免的。,"Troops.json,20,pages,0,list,92,parameters,0"
她的反应速度之快是人类做不到的。,"Troops.json,20,pages,0,list,93,parameters,0"
\C[27] 清彦,"Troops.json,20,pages,0,list,95,parameters,0"
“（她摸了我的尾巴……）,"Troops.json,20,pages,0,list,96,parameters,0"
这是否意味着尾巴是一个弱点？ ）”,"Troops.json,20,pages,0,list,97,parameters,0"
大妖狐,"Troops.json,20,pages,0,list,99,parameters,0"
“嗯……我想你并没有想象中那么习惯。,"Troops.json,20,pages,0,list,100,parameters,0"
也许你需要稍微改变一下你的方法？ ”,"Troops.json,20,pages,0,list,101,parameters,0"
大妖狐,"Troops.json,20,pages,1,list,2,parameters,0"
「接下来是你的耳朵～♪」,"Troops.json,20,pages,1,list,3,parameters,0"
\C[27] 清彦,"Troops.json,20,pages,1,list,6,parameters,0"
（等等，我试着表现得好像我在这里有这种感觉。,"Troops.json,20,pages,1,list,8,parameters,0"
我也可以瞄准尾骨。）,"Troops.json,20,pages,1,list,9,parameters,0"
行为,"Troops.json,20,pages,1,list,10,parameters,0,0"
不，我们攻击这里吧。,"Troops.json,20,pages,1,list,10,parameters,0,1"
行为,"Troops.json,20,pages,1,list,11,parameters,1"
\C[27] 清彦,"Troops.json,20,pages,1,list,13,parameters,0"
“啊啊……！”,"Troops.json,20,pages,1,list,14,parameters,0"
她又被迫从后面变得蓬松起来。,"Troops.json,20,pages,1,list,16,parameters,0"
就好像头顶的耳朵被摸到了，但又不是那样的。,"Troops.json,20,pages,1,list,17,parameters,0"
奇怪的是，很痒，可能是因为我的神经已经到了一半。,"Troops.json,20,pages,1,list,18,parameters,0"
\!这是一个行为。我努力让自己感觉自己在演戏。,"Troops.json,20,pages,1,list,19,parameters,0"
大妖狐,"Troops.json,20,pages,1,list,21,parameters,0"
“呼呼呼~♪,"Troops.json,20,pages,1,list,22,parameters,0"
难道你不擅长这个吗？,"Troops.json,20,pages,1,list,23,parameters,0"
虽然你的尾巴感觉不明显，但在这里软弱可很不寻常♪,"Troops.json,20,pages,1,list,24,parameters,0"
\C[27] 清彦,"Troops.json,20,pages,1,list,26,parameters,0"
“可恶……停下来……！”,"Troops.json,20,pages,1,list,27,parameters,0"
我的演技出奇的好。,"Troops.json,20,pages,1,list,29,parameters,0"
……尽量不去做出一点反应。,"Troops.json,20,pages,1,list,30,parameters,0"
每次我被拉开距离时，我都会尝试放松。,"Troops.json,20,pages,1,list,32,parameters,0"
大妖狐靠近了我的身体。,"Troops.json,20,pages,1,list,33,parameters,0"
每当她的大乳房撞到我的背上时，我的身体就感觉要做出反应。,"Troops.json,20,pages,1,list,34,parameters,0"
现在，机会来了！,"Troops.json,20,pages,1,list,35,parameters,0"
攻击尾根！,"Troops.json,20,pages,1,list,36,parameters,0,0"
不，还是可以忍受的,"Troops.json,20,pages,1,list,36,parameters,0,1"
攻击尾根！,"Troops.json,20,pages,1,list,37,parameters,1"
这只是一瞬间。 \!,"Troops.json,20,pages,1,list,40,parameters,0"
\C[18] \C[0] 他自己弯腰的速度，连他自己都觉得是谎言。,"Troops.json,20,pages,1,list,41,parameters,0"
不知道是皮肤原因还是什么原因,"Troops.json,20,pages,1,list,42,parameters,0"
因为这次我确实感觉到了,"Troops.json,20,pages,1,list,45,parameters,0"
我以为这样就可以了吗？,"Troops.json,20,pages,1,list,46,parameters,0"
当大狐狸睁开眼睛的时候……,"Troops.json,20,pages,1,list,47,parameters,0"
我弯下腰，把手伸向她的身体底部，同时挣脱束缚。,"Troops.json,20,pages,1,list,51,parameters,0"
\! 我够不到它！在这种情况下，应该——伸展指甲。,"Troops.json,20,pages,1,list,52,parameters,0"
大妖狐,"Troops.json,20,pages,1,list,59,parameters,0"
“嗨♡”,"Troops.json,20,pages,1,list,60,parameters,0"
我的手正在触摸她的尾根。 \!,"Troops.json,20,pages,1,list,62,parameters,0"
够得到，但来不及仔细揉搓。,"Troops.json,20,pages,1,list,63,parameters,0"
我连忙刺激那个部位两三下。,"Troops.json,20,pages,1,list,64,parameters,0"
我太坚强了，最后我也摸到了她的屁股。,"Troops.json,20,pages,1,list,65,parameters,0"
大妖狐,"Troops.json,20,pages,1,list,67,parameters,0"
“呃……！太极端了♡\!,"Troops.json,20,pages,1,list,68,parameters,0"
呃……我使不上力气了。”,"Troops.json,20,pages,1,list,69,parameters,0"
不，还是可以忍受的,"Troops.json,20,pages,1,list,74,parameters,1"
\C[27] 清彦,"Troops.json,20,pages,1,list,76,parameters,0"
“（还没有，还是这个状态……）”,"Troops.json,20,pages,1,list,77,parameters,0"
大妖狐,"Troops.json,20,pages,1,list,79,parameters,0"
「就是这样啦♪么呼么呼么呼么呼♪」,"Troops.json,20,pages,1,list,80,parameters,0"
不，我们攻击这里吧。,"Troops.json,20,pages,1,list,84,parameters,1"
情况不同。这里不攻击是没有意义的！,"Troops.json,20,pages,1,list,87,parameters,0"
冷静下来，观察大妖狐的动作……,"Troops.json,20,pages,1,list,88,parameters,0"
用爪子攻击！,"Troops.json,20,pages,1,list,89,parameters,0"
情况不同。这里不攻击是没有意义的！,"Troops.json,20,pages,1,list,94,parameters,0"
静下心来观察大妖狐的动作……不过对方的速度很快。,"Troops.json,20,pages,1,list,95,parameters,0"
如果是魔法的话！,"Troops.json,20,pages,1,list,96,parameters,0"
情况不同。这里不攻击是没有意义的！,"Troops.json,20,pages,1,list,101,parameters,0"
冷静下来，观察大妖狐的动向……小心行事。,"Troops.json,20,pages,1,list,102,parameters,0"
大妖狐,"Troops.json,20,pages,1,list,106,parameters,0"
「是的，我会再次关爱你的。对吧♪」,"Troops.json,20,pages,1,list,107,parameters,0"
我又被从后面抓住了。,"Troops.json,20,pages,1,list,109,parameters,0"
当尾巴被击中时，有点措手不及。,"Troops.json,20,pages,1,list,110,parameters,0"
我小心翼翼地避免第二次被攻击。,"Troops.json,20,pages,1,list,111,parameters,0"
因为敌我能力的巨大差异而感到不安。,"Troops.json,20,pages,1,list,112,parameters,0"
大妖狐,"Troops.json,20,pages,1,list,114,parameters,0"
「就是这样啦♪么呼么呼么呼么呼♪」,"Troops.json,20,pages,1,list,115,parameters,0"
大狐狸拢住耳朵，挼得她心烦意乱。,"Troops.json,20,pages,1,list,117,parameters,0"
她华丽而活泼的声音让我毫无恐惧。,"Troops.json,20,pages,1,list,118,parameters,0"
她的语气就像一个充满关怀的姐姐。,"Troops.json,20,pages,1,list,119,parameters,0"
她摸了摸我头顶的耳朵，但只感觉有点痒。,"Troops.json,20,pages,1,list,123,parameters,0"
虽然耳朵位于头部颞区的内侧,"Troops.json,20,pages,1,list,124,parameters,0"
头顶的耳朵被玩弄时有一种不舒服的感觉。,"Troops.json,20,pages,1,list,125,parameters,0"
\!就是那时。,"Troops.json,20,pages,1,list,126,parameters,0"
\C[27] “嗨！？” \C[0] 一个奇怪的声音传了出来。,"Troops.json,20,pages,1,list,132,parameters,0"
没错，有什么东西被搞乱了。,"Troops.json,20,pages,1,list,133,parameters,0"
我在我以为自己所在的地方感到麻木。,"Troops.json,20,pages,1,list,134,parameters,0"
大妖狐,"Troops.json,20,pages,1,list,136,parameters,0"
「嗯♪好像\C[18]已经习惯了，\C[0]来了？,"Troops.json,20,pages,1,list,137,parameters,0"
让我也玩玩你的尾巴~”,"Troops.json,20,pages,1,list,138,parameters,0"
适合。 \.\.\.,"Troops.json,20,pages,1,list,140,parameters,0"
想想看，大狐狸也说过这样的话。,"Troops.json,20,pages,1,list,141,parameters,0"
事实真的如此吗？,"Troops.json,20,pages,1,list,142,parameters,0"
你，对装饰品很敏感吗...？,"Troops.json,20,pages,1,list,143,parameters,0"
那么，尾巴就和之前完全不一样了……！,"Troops.json,20,pages,1,list,145,parameters,0"
大妖狐,"Troops.json,20,pages,1,list,149,parameters,0"
“是啊♡毛茸茸的♪”,"Troops.json,20,pages,1,list,150,parameters,0"
\C[27] 清彦,"Troops.json,20,pages,1,list,153,parameters,0"
“啊啊啊……啊啊……♡\!,"Troops.json,20,pages,1,list,154,parameters,0"
不要啊！ ”,"Troops.json,20,pages,1,list,155,parameters,0"
虽然麻木了，但也不是难以忍受……！,"Troops.json,20,pages,1,list,157,parameters,0"
力量有些恢复了。,"Troops.json,20,pages,1,list,158,parameters,0"
如果等待下一次机会...,"Troops.json,20,pages,1,list,159,parameters,0"
\C[27] 清彦,"Troops.json,20,pages,1,list,165,parameters,0"
“...该死！,"Troops.json,20,pages,1,list,166,parameters,0"
（真糟糕……！我真的不知道该怎么办。,"Troops.json,20,pages,1,list,167,parameters,0"
如果这是冒险中的战斗，我会暂时撤退……！ ）”,"Troops.json,20,pages,1,list,168,parameters,0"
你不会死，你不会受伤。,"Troops.json,20,pages,1,list,170,parameters,0"
但我不能逃跑。,"Troops.json,20,pages,1,list,171,parameters,0"
这让她变得不耐烦，开始捂住耳朵。,"Troops.json,20,pages,1,list,172,parameters,0"
她摸了摸我头顶的耳朵，但只感觉有点痒。,"Troops.json,20,pages,1,list,174,parameters,0"
虽然耳朵位于头部颞区的内侧,"Troops.json,20,pages,1,list,175,parameters,0"
头顶的耳朵被玩弄时有一种不舒服的感觉。,"Troops.json,20,pages,1,list,176,parameters,0"
冷静点……你现在应该考虑一下。 \!我就是这么想的。,"Troops.json,20,pages,1,list,177,parameters,0"
\C[27] “嗨！？” \C[0] 一个奇怪的声音传了出来。,"Troops.json,20,pages,1,list,183,parameters,0"
没错，有什么东西被搞乱了。,"Troops.json,20,pages,1,list,184,parameters,0"
我在我以为自己所在的地方感到麻木。,"Troops.json,20,pages,1,list,185,parameters,0"
大妖狐,"Troops.json,20,pages,1,list,187,parameters,0"
「嗯♪好像\C[18]已经习惯了，\C[0]来了？,"Troops.json,20,pages,1,list,188,parameters,0"
让我也玩玩你的尾巴~”,"Troops.json,20,pages,1,list,189,parameters,0"
适合。 \.\.\.,"Troops.json,20,pages,1,list,191,parameters,0"
想想看，大狐狸也说过这样的话。,"Troops.json,20,pages,1,list,192,parameters,0"
事实真的如此吗？,"Troops.json,20,pages,1,list,193,parameters,0"
你，对装饰品很敏感吗...？,"Troops.json,20,pages,1,list,194,parameters,0"
那么，尾巴就和之前完全不一样了……！,"Troops.json,20,pages,1,list,196,parameters,0"
大妖狐,"Troops.json,20,pages,1,list,200,parameters,0"
“是啊♡毛茸茸的♪”,"Troops.json,20,pages,1,list,201,parameters,0"
\C[27] 清彦,"Troops.json,20,pages,1,list,204,parameters,0"
“啊啊啊……啊啊……♡\!,"Troops.json,20,pages,1,list,205,parameters,0"
不要啊！ ”,"Troops.json,20,pages,1,list,206,parameters,0"
虽然麻木了，但也不是难以忍受……！,"Troops.json,20,pages,1,list,208,parameters,0"
力量有些恢复了。,"Troops.json,20,pages,1,list,209,parameters,0"
如果等待下一次机会...,"Troops.json,20,pages,1,list,210,parameters,0"
大妖狐分身,"Troops.json,21,name"
大妖狐,"Troops.json,21,pages,0,list,4,parameters,0"
「真是毛茸茸的攻击啊～♪」,"Troops.json,21,pages,0,list,5,parameters,0"
\C[27] 清彦,"Troops.json,21,pages,0,list,7,parameters,0"
这一击，看来是成功了。,"Troops.json,21,pages,0,list,10,parameters,0"
但就在我目光追随大妖狐的那一刻，,"Troops.json,21,pages,0,list,11,parameters,0"
么呼。他的尾巴被碰了一下，发出很大的声音。,"Troops.json,21,pages,0,list,12,parameters,0"
它通过尾巴刺痛到尾骨。本来的事,"Troops.json,21,pages,0,list,14,parameters,0"
我可以看到它正在发生。,"Troops.json,21,pages,0,list,15,parameters,0"
我有一瞬间感觉很虚弱，但是……,"Troops.json,21,pages,0,list,16,parameters,0"
\C[27] 清彦,"Troops.json,21,pages,0,list,18,parameters,0"
“可恶！”,"Troops.json,21,pages,0,list,19,parameters,0"
大妖狐,"Troops.json,21,pages,0,list,22,parameters,0"
「哎呀♪好危险好危险♪」,"Troops.json,21,pages,0,list,23,parameters,0"
他挣开怀抱，并立即尝试尾根。,"Troops.json,21,pages,0,list,26,parameters,0"
薄而锋利的指甲会短暂划伤衣服，但,"Troops.json,21,pages,0,list,27,parameters,0"
它并没有造成打击。,"Troops.json,21,pages,0,list,28,parameters,0"
大妖狐,"Troops.json,21,pages,0,list,30,parameters,0"
“你喜欢我的屁股还是我的尾巴？？？,"Troops.json,21,pages,0,list,31,parameters,0"
想尝试很多绒毛吗？ ”,"Troops.json,21,pages,0,list,32,parameters,0"
\C[27] 清彦,"Troops.json,21,pages,0,list,34,parameters,0"
好吧，说真的。,"Troops.json,21,pages,0,list,38,parameters,0"
\! 两者温差较大。,"Troops.json,21,pages,0,list,39,parameters,0"
快认真起来啊。我想了一会儿。,"Troops.json,21,pages,0,list,40,parameters,0"
他松开它，用爪子攻击大妖狐，但,"Troops.json,21,pages,0,list,44,parameters,0"
那只手刚刚触碰了我的胸口,"Troops.json,21,pages,0,list,45,parameters,0"
很舒服——绝对不能这么说。,"Troops.json,21,pages,0,list,46,parameters,0"
大妖狐,"Troops.json,21,pages,0,list,48,parameters,0"
“呃……,"Troops.json,21,pages,0,list,49,parameters,0"
清彦，你是想让我摸你的胸部吧？ ”,"Troops.json,21,pages,0,list,50,parameters,0"
\C[27] 清彦,"Troops.json,21,pages,0,list,52,parameters,0"
绝对不可能承认的！。,"Troops.json,21,pages,0,list,55,parameters,0"
无论如何，放轻松。,"Troops.json,21,pages,0,list,56,parameters,0"
好吧，说真的。,"Troops.json,21,pages,0,list,57,parameters,0"
正视敌我之间的差距。,"Troops.json,21,pages,0,list,58,parameters,0"
大妖狐,"Troops.json,21,pages,0,list,62,parameters,0"
（是不是有点危险？,"Troops.json,21,pages,0,list,63,parameters,0"
看来他已经追上了我的速度。,"Troops.json,21,pages,0,list,64,parameters,0"
难道当皮肤适应后各项体能也会适应吗？ ）”,"Troops.json,21,pages,0,list,65,parameters,0"
大妖狐,"Troops.json,21,pages,0,list,67,parameters,0"
（看来我们能够获得一些好的数据。,"Troops.json,21,pages,0,list,68,parameters,0"
下次我就听你的~♪）”,"Troops.json,21,pages,0,list,69,parameters,0"
大妖狐,"Troops.json,21,pages,1,list,2,parameters,0"
「接下来是你的耳朵～♪」,"Troops.json,21,pages,1,list,3,parameters,0"
一瞬间，我就看到那头巨大的妖狐正以极快的速度向我逼近。,"Troops.json,21,pages,1,list,5,parameters,0"
如果不带入情境，看上去真像是一记死手。 \!,"Troops.json,21,pages,1,list,6,parameters,0"
但下一次会有所不同！,"Troops.json,21,pages,1,list,7,parameters,0"
大妖狐,"Troops.json,21,pages,1,list,10,parameters,0"
“呃……？”,"Troops.json,21,pages,1,list,11,parameters,0"
本来应该到达清彦身后，但看到的只是狐狸的虚影 \!,"Troops.json,21,pages,1,list,13,parameters,0"
本应能以和上次一样的方式摸到他的耳朵,"Troops.json,21,pages,1,list,14,parameters,0"
到达预定的背后位时，只看到另一只妖狐正在高速移动，,"Troops.json,21,pages,1,list,15,parameters,0"
她回头望去。,"Troops.json,21,pages,1,list,16,parameters,0"
\C[27] 清彦,"Troops.json,21,pages,1,list,18,parameters,0"
“（现在 - ！,"Troops.json,21,pages,1,list,19,parameters,0"
瞄准尾骨根部,"Troops.json,21,pages,1,list,21,parameters,0,0"
瞄准另一部分,"Troops.json,21,pages,1,list,21,parameters,0,1"
瞄准尾骨根部,"Troops.json,21,pages,1,list,22,parameters,1"
大妖狐,"Troops.json,21,pages,1,list,27,parameters,0"
“嗨♡”,"Troops.json,21,pages,1,list,28,parameters,0"
我的手正在触摸她的尾根。 \!,"Troops.json,21,pages,1,list,30,parameters,0"
大妖狐失去力气，摇摇晃晃。好样的。,"Troops.json,21,pages,1,list,31,parameters,0"
刺激该区域两到三次。,"Troops.json,21,pages,1,list,32,parameters,0"
大妖狐,"Troops.json,21,pages,1,list,34,parameters,0"
“呃……我没力气了。,"Troops.json,21,pages,1,list,35,parameters,0"
不是责弄我的屁股，而是这里,"Troops.json,21,pages,1,list,36,parameters,0"
清彦，你是个不寻常的孩子吗？ ”,"Troops.json,21,pages,1,list,37,parameters,0"
……我不敢贸然回应。,"Troops.json,21,pages,1,list,39,parameters,0"
她大概知道自己在说什么。,"Troops.json,21,pages,1,list,40,parameters,0"
瞄准另一部分,"Troops.json,21,pages,1,list,46,parameters,1"
不，我够不到她的尾根。,"Troops.json,21,pages,1,list,49,parameters,0"
然后！攻击容易被瞄准的部位！,"Troops.json,21,pages,1,list,50,parameters,0"
在这种情况下……是前面！如果用爪子攻击的话……！,"Troops.json,21,pages,1,list,51,parameters,0"
不，我够不到她的尾根。,"Troops.json,21,pages,1,list,57,parameters,0"
然后！攻击容易被瞄准的部位！,"Troops.json,21,pages,1,list,58,parameters,0"
在这种情况下……是前面！,"Troops.json,21,pages,1,list,59,parameters,0"
稍等一下......,"Troops.json,21,pages,1,list,65,parameters,0"
如果这个时候你用爪子攻击的话……,"Troops.json,21,pages,1,list,66,parameters,0"
大妖狐,"Troops.json,21,pages,1,list,72,parameters,0"
“安♡”,"Troops.json,21,pages,1,list,73,parameters,0"
啊。当我注意到的时候，已经晚了。 \.\.\.,"Troops.json,21,pages,1,list,76,parameters,0"
我的右手正抚摸着大妖狐的左胸。,"Troops.json,21,pages,1,list,77,parameters,0"
不...我会说它是“摩擦”而不是“触摸”。,"Troops.json,21,pages,1,list,78,parameters,0"
\C[27] 清彦,"Troops.json,21,pages,1,list,80,parameters,0"
“啊”,"Troops.json,21,pages,1,list,81,parameters,0"
果然，她对此也很兴奋。,"Troops.json,21,pages,1,list,83,parameters,0"
即使没有生命危险，这也是一场激烈的竞争。,"Troops.json,21,pages,1,list,84,parameters,0"
（不知道大狐狸是否这么认为。）,"Troops.json,21,pages,1,list,85,parameters,0"
因为发生了这样的事情。,"Troops.json,21,pages,1,list,86,parameters,0"
大妖狐,"Troops.json,21,pages,1,list,88,parameters,0"
「原来如此，清彦君。,"Troops.json,21,pages,1,list,89,parameters,0"
男生很在意屁股吗？,"Troops.json,21,pages,1,list,90,parameters,0"
但是……还有比下面更好的东西，对吧？ ”,"Troops.json,21,pages,1,list,91,parameters,0"
大狐狸指着她的大胸，嘀咕道……,"Troops.json,21,pages,1,list,93,parameters,0"
不，我够不到她的尾根。,"Troops.json,21,pages,1,list,103,parameters,0"
然后！攻击容易被瞄准的部位！,"Troops.json,21,pages,1,list,104,parameters,0"
在这种情况下……是前面！如果用爪子攻击的话……！,"Troops.json,21,pages,1,list,105,parameters,0"
不，我够不到她的尾根。,"Troops.json,21,pages,1,list,111,parameters,0"
然后！攻击容易被瞄准的部位！,"Troops.json,21,pages,1,list,112,parameters,0"
在这种情况下……是前面！,"Troops.json,21,pages,1,list,113,parameters,0"
稍等一下......,"Troops.json,21,pages,1,list,119,parameters,0"
如果这个时候你用爪子攻击的话……,"Troops.json,21,pages,1,list,120,parameters,0"
大妖狐,"Troops.json,21,pages,1,list,126,parameters,0"
“安♡”,"Troops.json,21,pages,1,list,127,parameters,0"
啊。当我注意到的时候，已经晚了。 \.\.\.,"Troops.json,21,pages,1,list,130,parameters,0"
我的右手正抚摸着大妖狐的左胸。,"Troops.json,21,pages,1,list,131,parameters,0"
不...我会说它是“摩擦”而不是“触摸”。,"Troops.json,21,pages,1,list,132,parameters,0"
\C[27] 清彦,"Troops.json,21,pages,1,list,134,parameters,0"
“啊”,"Troops.json,21,pages,1,list,135,parameters,0"
果然，她对此也很兴奋。,"Troops.json,21,pages,1,list,137,parameters,0"
即使没有生命危险，这也是一场激烈的竞争。,"Troops.json,21,pages,1,list,138,parameters,0"
（不知道大狐狸是否这么认为。）,"Troops.json,21,pages,1,list,139,parameters,0"
因为发生了这样的事情。,"Troops.json,21,pages,1,list,140,parameters,0"
大妖狐,"Troops.json,21,pages,1,list,142,parameters,0"
「原来如此，清彦君。,"Troops.json,21,pages,1,list,143,parameters,0"
我想知道这个男孩是否因为瞄准了两次而对底部感兴趣？,"Troops.json,21,pages,1,list,144,parameters,0"
但是……还有比下面更好的东西，对吧？ ”,"Troops.json,21,pages,1,list,145,parameters,0"
大狐狸指着她的大胸，嘀咕道……,"Troops.json,21,pages,1,list,147,parameters,0"
大妖狐分身,"Troops.json,22,name"
\C[27] 清彦,"Troops.json,22,pages,0,list,4,parameters,0"
一瞬间，大妖狐就消失在了视线之中。,"Troops.json,22,pages,0,list,7,parameters,0"
这就是……消失的魔法。不，这不对。,"Troops.json,22,pages,0,list,8,parameters,0"
它以人类无法看到的速度移动。,"Troops.json,22,pages,0,list,9,parameters,0"
我能看到大妖狐的动作竟然有如此之快。,"Troops.json,22,pages,0,list,11,parameters,0"
果然，她瞄准的肯定是这条尾巴。,"Troops.json,22,pages,0,list,12,parameters,0"
\!...好的！,"Troops.json,22,pages,0,list,13,parameters,0"
大妖狐,"Troops.json,22,pages,0,list,15,parameters,0"
“就是这样！毛茸茸的……什么？”,"Troops.json,22,pages,0,list,16,parameters,0"
