黑色哈比鸟A,"Map191.json,events,7,name"
那么，这么重而且感到窒息更是理所当然。,"Map191.json,events,9,pages,1,list,130,parameters,0"
慢慢地……我起身了。,"Map191.json,events,9,pages,1,list,132,parameters,0"
……？……奇怪，太奇怪了。,"Map191.json,events,9,pages,1,list,133,parameters,0"
那个沉重的东西一直贴在肚子上。,"Map191.json,events,9,pages,1,list,134,parameters,0"
不对……,"Map191.json,events,9,pages,1,list,135,parameters,0"
C[18]肚子里有异物――。,"Map191.json,events,9,pages,1,list,137,parameters,0"
C[27]清彦,"Map191.json,events,9,pages,1,list,147,parameters,0"
「――诶？」,"Map191.json,events,9,pages,1,list,148,parameters,0"
……肚子鼓胀得很大。\!,"Map191.json,events,9,pages,1,list,150,parameters,0"
这不是因为发胖。,"Map191.json,events,9,pages,1,list,151,parameters,0"
\C[27]清彦,"Map191.json,events,9,pages,1,list,153,parameters,0"
「竟然……会是这样」,"Map191.json,events,9,pages,1,list,154,parameters,0"
用习惯的双手触摸着自己鼓胀起来的那个东西。,"Map191.json,events,9,pages,1,list,156,parameters,0"
但是，能够触碰到的只有那柔软的翅膀，,"Map191.json,events,9,pages,1,list,157,parameters,0"
适合飞翔，却完全不适合触摸任何东西。,"Map191.json,events,9,pages,1,list,158,parameters,0"
……即使是那样的翅膀，也能感受到肚子的\C[18]坚硬\C[0]。,"Map191.json,events,9,pages,1,list,160,parameters,0"
自己那鼓胀的东西——。,"Map191.json,events,9,pages,1,list,161,parameters,0"
\C[27]清彦,"Map191.json,events,9,pages,1,list,164,parameters,0"
「蛋……\.\.\.果」,"Map191.json,events,9,pages,1,list,165,parameters,0"
发生了最糟糕的事情。,"Map191.json,events,9,pages,1,list,167,parameters,0"
被那只黑色哈比一方面地袭击，,"Map191.json,events,9,pages,1,list,168,parameters,0"
然后……突然发现自己背负着新的生命，,"Map191.json,events,9,pages,1,list,169,parameters,0"
走上了从未想过的\C[18]母亲之路。,"Map191.json,events,9,pages,1,list,170,parameters,0"
\C[27]清彦,"Map191.json,events,9,pages,1,list,173,parameters,0"
「必须想办法……\.\.\n对了，回城里去教堂，,"Map191.json,events,9,pages,1,list,174,parameters,0"
或许能得到解决的方法」,"Map191.json,events,9,pages,1,list,175,parameters,0"
\C[27]清彦,"Map191.json,events,9,pages,1,list,179,parameters,0"
「必须想办法……\.\.\n对了，城里好像有个教堂的样子，,"Map191.json,events,9,pages,1,list,180,parameters,0"
或许能找到解决的方法」,"Map191.json,events,9,pages,1,list,181,parameters,0"
但是成长得太快了。,"Map191.json,events,9,pages,1,list,185,parameters,0"
即使是被强迫怀孕，也是异常的速度。,"Map191.json,events,9,pages,1,list,186,parameters,0"
如果继续膨胀下去——。,"Map191.json,events,9,pages,1,list,187,parameters,0"
蛋微微颤动了一下。,"Map191.json,events,9,pages,1,list,189,parameters,0"
在身体内成长，新的生命正在孕育中。,"Map191.json,events,9,pages,1,list,190,parameters,0"
\C[27]清彦,"Map191.json,events,9,pages,1,list,196,parameters,0"
「啊――♡」,"Map191.json,events,9,pages,1,list,197,parameters,0"
一种温暖从内心涌出。\.\.\n先生这个孩子，然后温暖蛋……。,"Map191.json,events,9,pages,1,list,202,parameters,0"
一定要健康地出生。,"Map191.json,events,9,pages,1,list,203,parameters,0"
然后，然后……。,"Map191.json,events,9,pages,1,list,205,parameters,0"
\C[27]清彦,"Map191.json,events,9,pages,1,list,209,parameters,0"
「刚才的是……」,"Map191.json,events,9,pages,1,list,210,parameters,0"
瞬间，意识到自己成为了\C[18]一匹母亲\C[0]。,"Map191.json,events,9,pages,1,list,212,parameters,0"
明明感受到了那么大的恐惧，被黑色哈比搞得一团糟，,"Map191.json,events,9,pages,1,list,213,parameters,0"
却完全从脑海中抹去了。,"Map191.json,events,9,pages,1,list,214,parameters,0"
\C[27]清彦,"Map191.json,events,9,pages,1,list,217,parameters,0"
「教堂……伊势丹」,"Map191.json,events,9,pages,1,list,218,parameters,0"
如果有时间考虑这些，就必须赶紧行动。,"Map191.json,events,9,pages,1,list,222,parameters,0"
虽然感受到了肚子的重量，身体却能飞翔。,"Map191.json,events,9,pages,1,list,223,parameters,0"
慢慢地扇动翅膀……她飞了起来。,"Map191.json,events,9,pages,1,list,224,parameters,0"
朝着城里的教堂——。\!希望能够到达。,"Map191.json,events,9,pages,1,list,225,parameters,0"
黑色哈比看着她的肚子，露出满意的表情。,"Map191.json,events,9,pages,3,list,1,parameters,0"
\C[27]清彦,"Map191.json,events,9,pages,3,list,3,parameters,0"
「呜呜……可恶……！」,"Map191.json,events,9,pages,3,list,4,parameters,0"
虽然很懊恼，但是似乎什么都做不了。,"Map191.json,events,9,pages,3,list,6,parameters,0"
用这样的肚子无法自由行动，,"Map191.json,events,9,pages,3,list,7,parameters,0"
也不知为何没有攻击的欲望。,"Map191.json,events,9,pages,3,list,8,parameters,0"
黑色哈比似乎在示意她去深处。,"Map191.json,events,9,pages,4,list,1,parameters,0"
\C[27]白哈比,"Map191.json,events,9,pages,4,list,3,parameters,0"
「嗯……♡」,"Map191.json,events,9,pages,4,list,4,parameters,0"
她点了点头，温柔地微笑着。,"Map191.json,events,9,pages,4,list,6,parameters,0"
\C[27]清彦,"Map191.json,events,10,pages,0,list,3,parameters,0"
「嗯♡」,"Map191.json,events,10,pages,0,list,4,parameters,0"
她感觉到肚子里有什么在动。,"Map191.json,events,10,pages,0,list,6,parameters,0"
\!每次心跳，她的母性就会膨胀。,"Map191.json,events,10,pages,0,list,7,parameters,0"
\C[27]清彦,"Map191.json,events,10,pages,0,list,11,parameters,0"
「没关系……,"Map191.json,events,10,pages,0,list,12,parameters,0"
我会生下你――。」,"Map191.json,events,10,pages,0,list,13,parameters,0"
她摇晃着头。\!,"Map191.json,events,10,pages,0,list,16,parameters,0"
这已经是第几次母性溢出了。,"Map191.json,events,10,pages,0,list,17,parameters,0"
大概一两次吧……？,"Map191.json,events,10,pages,0,list,18,parameters,0"
但是，现在的感觉比以前更加浓烈。,"Map191.json,events,10,pages,0,list,19,parameters,0"
稍微放松一下，脑海中就会充满孩子的事情。,"Map191.json,events,10,pages,0,list,21,parameters,0"
……她不知道的是，他――清彦,"Map191.json,events,10,pages,0,list,22,parameters,0"
也许正在慢慢消失。,"Map191.json,events,10,pages,0,list,23,parameters,0"
\C[27]清彦,"Map191.json,events,10,pages,2,list,3,parameters,0"
「没关系……放心。,"Map191.json,events,10,pages,2,list,4,parameters,0"
妈妈会让你成为一个健康的孩子――\.\.\.不、不对……呃！\.\.\.,"Map191.json,events,10,pages,2,list,5,parameters,0"
不会变……？\.\.\.咕……咕噜……！」,"Map191.json,events,10,pages,2,list,6,parameters,0"
下腹部隐隐作痛，每次抚摸肚子都会感到幸福。,"Map191.json,events,10,pages,2,list,8,parameters,0"
如果再有什么事情发生，她就无法承受了。,"Map191.json,events,10,pages,2,list,9,parameters,0"
『作为男人的尊严』将他与她内心中的他连接在一起。,"Map191.json,events,10,pages,2,list,10,parameters,0"
……但这也只是时间问题吧。,"Map191.json,events,10,pages,2,list,11,parameters,0"
不知道是第几次下腹部隐隐作痛。,"Map191.json,events,10,pages,4,list,11,parameters,0"
一种模糊的东西从她的心中,"Map191.json,events,10,pages,4,list,12,parameters,0"
传遍全身……感觉好像有什么东西掉了下来。,"Map191.json,events,10,pages,4,list,13,parameters,0"
以前从来没有过这种掉落的感觉。,"Map191.json,events,10,pages,4,list,14,parameters,0"
\C[27]清彦,"Map191.json,events,10,pages,4,list,16,parameters,0"
就快了……♡」,"Map191.json,events,10,pages,4,list,18,parameters,0"
再过一会儿，蛋就要孵化了。,"Map191.json,events,10,pages,4,list,20,parameters,0"
去巢穴里，温暖着，,"Map191.json,events,10,pages,4,list,21,parameters,0"
等待孩子的诞生，然后成为一只小哈比。,"Map191.json,events,10,pages,4,list,22,parameters,0"
用翅膀轻轻地抚摸着肚子。,"Map191.json,events,10,pages,4,list,23,parameters,0"
\C[27]清彦,"Map191.json,events,10,pages,4,list,26,parameters,0"
「嘿嘿……。,"Map191.json,events,10,pages,4,list,27,parameters,0"
我想快点生下我的孩子。想温暖它……♡,"Map191.json,events,10,pages,4,list,28,parameters,0"
\C[18]不能再刺激它了，要慢慢来……♡\C[27]」,"Map191.json,events,10,pages,4,list,29,parameters,0"
她已经……只能考虑蛋的事情了。,"Map191.json,events,10,pages,4,list,31,parameters,0"
\!不，不对。,"Map191.json,events,10,pages,4,list,32,parameters,0"
只考虑蛋的事情是作为白哈比的常态，所以没有问题。,"Map191.json,events,10,pages,4,list,33,parameters,0"
\C[27]白哈比,"Map191.json,events,10,pages,4,list,38,parameters,0"
「要去巢穴……♪」,"Map191.json,events,10,pages,4,list,39,parameters,0"
她的归宿不在外面……。,"Map191.json,events,10,pages,4,list,41,parameters,0"
应该是哈比林深处。\!,"Map191.json,events,10,pages,4,list,42,parameters,0"
为了继续作为一只哈比,"Map191.json,events,10,pages,4,list,43,parameters,0"
继续作为一个母亲而活下去。,"Map191.json,events,10,pages,4,list,44,parameters,0"
