新人教会的人,"Map013.json,events,2,name"
但是如果有什么问题，请再来这里。,"Map013.json,events,2,pages,11,list,4,parameters,0"
因为有些事情只有我们才能理解」,"Map013.json,events,2,pages,11,list,5,parameters,0"
教会的人,"Map013.json,events,2,pages,12,list,1,parameters,0"
「哎呀，哈比来到这个城市了啊。,"Map013.json,events,2,pages,12,list,2,parameters,0"
今天有什么事情吗？」,"Map013.json,events,2,pages,12,list,3,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,12,list,5,parameters,0"
“实际上――。”,"Map013.json,events,2,pages,12,list,6,parameters,0"
教会的人,"Map013.json,events,2,pages,12,list,13,parameters,0"
「原来如此……捡到水晶就变成哈比了。,"Map013.json,events,2,pages,12,list,14,parameters,0"
真是不幸啊，清彦先生。,"Map013.json,events,2,pages,12,list,15,parameters,0"
我会尽力帮助你……\.\.\.请放松」,"Map013.json,events,2,pages,12,list,16,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,12,list,18,parameters,0"
「拜托了」,"Map013.json,events,2,pages,12,list,19,parameters,0"
教会的人,"Map013.json,events,2,pages,12,list,24,parameters,0"
「（没问题……,"Map013.json,events,2,pages,12,list,25,parameters,0"
作为修行过的我，一定能治愈！）」,"Map013.json,events,2,pages,12,list,26,parameters,0"
教会的人,"Map013.json,events,2,pages,12,list,28,parameters,0"
「起！」,"Map013.json,events,2,pages,12,list,29,parameters,0"
教会的人,"Map013.json,events,2,pages,12,list,33,parameters,0"
“（果然一次不行吗）”,"Map013.json,events,2,pages,12,list,34,parameters,0"
教会的人,"Map013.json,events,2,pages,12,list,36,parameters,0"
“……\.\.哈啊！”,"Map013.json,events,2,pages,12,list,37,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,12,list,41,parameters,0"
「（……有不好的预感）」,"Map013.json,events,2,pages,12,list,42,parameters,0"
教会的人,"Map013.json,events,2,pages,12,list,44,parameters,0"
「如果继续下去的话肯定……」,"Map013.json,events,2,pages,12,list,45,parameters,0"
――十分钟后。,"Map013.json,events,2,pages,12,list,50,parameters,0"
教会的人,"Map013.json,events,2,pages,12,list,56,parameters,0"
“哈啊……\.\.哈啊……。\.\.\.,"Map013.json,events,2,pages,12,list,57,parameters,0"
对、对不起。\.\.真是……”,"Map013.json,events,2,pages,12,list,58,parameters,0"
教会的人,"Map013.json,events,2,pages,12,list,60,parameters,0"
「……不仅仅是外表,"Map013.json,events,2,pages,12,list,61,parameters,0"
连灵魂也发生了变质。,"Map013.json,events,2,pages,12,list,62,parameters,0"
\!所以……\.是的。\.\.\.非常抱歉」,"Map013.json,events,2,pages,12,list,63,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,12,list,66,parameters,0"
「不行吗？」,"Map013.json,events,2,pages,12,list,67,parameters,0"
教会的人,"Map013.json,events,2,pages,12,list,69,parameters,0"
“……很遗憾”,"Map013.json,events,2,pages,12,list,70,parameters,0"
能感受到血液迅速退去的感觉。,"Map013.json,events,2,pages,12,list,72,parameters,0"
这个身体没有手，甚至连脚都没有人的形状。,"Map013.json,events,2,pages,12,list,73,parameters,0"
这样的样子……能回到冒险者生活吗。,"Map013.json,events,2,pages,12,list,75,parameters,0"
不，能回到原来的生活吗。无论怎么想都不可能。,"Map013.json,events,2,pages,12,list,76,parameters,0"
来到这里寻宝，即使受伤也算了,"Map013.json,events,2,pages,12,list,78,parameters,0"
谁能预料到会一辈子变成哈比。,"Map013.json,events,2,pages,12,list,79,parameters,0"
不仅性别改变，种族也完全变了样,"Map013.json,events,2,pages,12,list,80,parameters,0"
只能一辈子扑腾着飞翔生活下去。,"Map013.json,events,2,pages,12,list,81,parameters,0"
震惊得昏了过去。,"Map013.json,events,2,pages,12,list,93,parameters,0"
晃晃悠悠地。身体摇摇晃晃。,"Map013.json,events,2,pages,12,list,94,parameters,0"
右翼贴在额头上……她失去了意识。,"Map013.json,events,2,pages,12,list,95,parameters,0"
教会的人,"Map013.json,events,2,pages,12,list,99,parameters,0"
“清彦先生！？,"Map013.json,events,2,pages,12,list,100,parameters,0"
请振作起来！！！”,"Map013.json,events,2,pages,12,list,101,parameters,0"
啊。这是梦。,"Map013.json,events,2,pages,12,list,103,parameters,0"
梦……因为是梦，醒来后就会变成男人——。,"Map013.json,events,2,pages,12,list,104,parameters,0"
教会的人,"Map013.json,events,2,pages,13,list,2,parameters,0"
“辛苦了清彦先生。,"Map013.json,events,2,pages,13,list,3,parameters,0"
您的身体怎么样？”,"Map013.json,events,2,pages,13,list,4,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,13,list,6,parameters,0"
“辛苦了。,"Map013.json,events,2,pages,13,list,7,parameters,0"
是的……身体没有受到特别的影响。,"Map013.json,events,2,pages,13,list,8,parameters,0"
只是完全不习惯，所以需要时间。”,"Map013.json,events,2,pages,13,list,9,parameters,0"
教会的人,"Map013.json,events,2,pages,13,list,11,parameters,0"
“是吗，那就好。,"Map013.json,events,2,pages,13,list,12,parameters,0"
不过……真是件讨厌的事件啊。”,"Map013.json,events,2,pages,13,list,13,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,13,list,15,parameters,0"
“是啊……。,"Map013.json,events,2,pages,13,list,16,parameters,0"
只要能让城里的人们恢复人类身份就好。,"Map013.json,events,2,pages,13,list,17,parameters,0"
……只是，每个人都受到了后遗症的困扰。”,"Map013.json,events,2,pages,13,list,18,parameters,0"
教会的人,"Map013.json,events,2,pages,13,list,20,parameters,0"
“我幸运地躲在这里没有变成魅魔……。,"Map013.json,events,2,pages,13,list,21,parameters,0"
城里变得有点粉红色呢……”,"Map013.json,events,2,pages,13,list,22,parameters,0"
教会的人,"Map013.json,events,2,pages,13,list,24,parameters,0"
“住宅区的空地,"Map013.json,events,2,pages,13,list,25,parameters,0"
似乎会开设那种店铺。,"Map013.json,events,2,pages,13,list,26,parameters,0"
……这个岛将会变成什么样子，真是令人担忧。”,"Map013.json,events,2,pages,13,list,27,parameters,0"
果然会变成这样吗。她这样想。,"Map013.json,events,2,pages,13,list,30,parameters,0"
这个可能无法避免。,"Map013.json,events,2,pages,13,list,31,parameters,0"
人类的三大欲望之一不容易被抑制,"Map013.json,events,2,pages,13,list,32,parameters,0"
而且似乎因为魅魔化的影响而大大增加。,"Map013.json,events,2,pages,13,list,33,parameters,0"
虽然原因不明，但是想要堕落人类的欲望,"Map013.json,events,2,pages,13,list,35,parameters,0"
直接变成了性欲……或许是这样吧。,"Map013.json,events,2,pages,13,list,36,parameters,0"
是否再次观看事件？,"Map013.json,events,2,pages,14,list,1,parameters,0"
是,"Map013.json,events,2,pages,14,list,2,parameters,0,0"
否,"Map013.json,events,2,pages,14,list,2,parameters,0,1"
是,"Map013.json,events,2,pages,14,list,3,parameters,1"
教会的人,"Map013.json,events,2,pages,14,list,6,parameters,0"
“辛苦了清彦先生。,"Map013.json,events,2,pages,14,list,7,parameters,0"
您的身体怎么样？”,"Map013.json,events,2,pages,14,list,8,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,14,list,10,parameters,0"
“辛苦了。,"Map013.json,events,2,pages,14,list,11,parameters,0"
是的……身体没有受到特别的影响。,"Map013.json,events,2,pages,14,list,12,parameters,0"
只是完全不习惯，所以需要时间。”,"Map013.json,events,2,pages,14,list,13,parameters,0"
教会的人,"Map013.json,events,2,pages,14,list,15,parameters,0"
“是吗，那就好。,"Map013.json,events,2,pages,14,list,16,parameters,0"
不过……真是件讨厌的事件啊。”,"Map013.json,events,2,pages,14,list,17,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,14,list,19,parameters,0"
“是啊……。,"Map013.json,events,2,pages,14,list,20,parameters,0"
只要能让城里的人们恢复人类身份就好。,"Map013.json,events,2,pages,14,list,21,parameters,0"
……只是，每个人都受到了后遗症的困扰。”,"Map013.json,events,2,pages,14,list,22,parameters,0"
教会的人,"Map013.json,events,2,pages,14,list,24,parameters,0"
“我幸运地躲在这里没有变成魅魔……。,"Map013.json,events,2,pages,14,list,25,parameters,0"
城里变得有点粉红色呢……”,"Map013.json,events,2,pages,14,list,26,parameters,0"
教会的人,"Map013.json,events,2,pages,14,list,28,parameters,0"
“住宅区的空地,"Map013.json,events,2,pages,14,list,29,parameters,0"
似乎会开设那种店铺。,"Map013.json,events,2,pages,14,list,30,parameters,0"
……这个岛将会变成什么样子，真是令人担忧。”,"Map013.json,events,2,pages,14,list,31,parameters,0"
果然会变成这样吗。她这样想。,"Map013.json,events,2,pages,14,list,34,parameters,0"
这个可能无法避免。,"Map013.json,events,2,pages,14,list,35,parameters,0"
人类的三大欲望之一不容易被抑制,"Map013.json,events,2,pages,14,list,36,parameters,0"
而且似乎因为魅魔化的影响而大大增加。,"Map013.json,events,2,pages,14,list,37,parameters,0"
虽然原因不明，但是想要堕落人类的欲望,"Map013.json,events,2,pages,14,list,39,parameters,0"
直接变成了性欲……或许是这样吧。,"Map013.json,events,2,pages,14,list,40,parameters,0"
否,"Map013.json,events,2,pages,14,list,42,parameters,1"
教会的人,"Map013.json,events,2,pages,15,list,2,parameters,0"
“辛苦了清彦先生。,"Map013.json,events,2,pages,15,list,3,parameters,0"
您的身体怎么样？”,"Map013.json,events,2,pages,15,list,4,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,15,list,6,parameters,0"
“辛苦了。,"Map013.json,events,2,pages,15,list,7,parameters,0"
是的……身体没有受到特别的影响。,"Map013.json,events,2,pages,15,list,8,parameters,0"
只是完全不习惯，所以需要时间。”,"Map013.json,events,2,pages,15,list,9,parameters,0"
教会的人,"Map013.json,events,2,pages,15,list,11,parameters,0"
“孩子的身体看起来很辛苦呢……。,"Map013.json,events,2,pages,15,list,12,parameters,0"
不过，因为可爱所以或许更适合,"Map013.json,events,2,pages,15,list,13,parameters,0"
穿一些可爱的衣服？”,"Map013.json,events,2,pages,15,list,14,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,15,list,17,parameters,0"
“那个……只要换上其他的衣服,"Map013.json,events,2,pages,15,list,18,parameters,0"
就会自动变成这样。,"Map013.json,events,2,pages,15,list,19,parameters,0"
因为暴露度太高，所以想办法改变一下。”,"Map013.json,events,2,pages,15,list,20,parameters,0"
教会的人,"Map013.json,events,2,pages,15,list,23,parameters,0"
“对不起。\!,"Map013.json,events,2,pages,15,list,24,parameters,0"
……关于治疗，我已经和师傅商量过了。,"Map013.json,events,2,pages,15,list,25,parameters,0"
如果有什么情况我会立刻告诉您。”,"Map013.json,events,2,pages,15,list,26,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,15,list,28,parameters,0"
“那真是太感谢了。,"Map013.json,events,2,pages,15,list,29,parameters,0"
请多关照。”,"Map013.json,events,2,pages,15,list,30,parameters,0"
……虽然教会的人这么说，但是想起把事情告诉师傅后,"Map013.json,events,2,pages,15,list,33,parameters,0"
她说“男人变成小魔物娘最棒了。,"Map013.json,events,2,pages,15,list,34,parameters,0"
一定要想办法让他一辈子保持这样”。,"Map013.json,events,2,pages,15,list,35,parameters,0"
虽然生气了，但他们认真地开始调查了,"Map013.json,events,2,pages,15,list,37,parameters,0"
不过，让他们见面真的好吗，教会的人。,"Map013.json,events,2,pages,15,list,38,parameters,0"
教会的人,"Map013.json,events,2,pages,15,list,40,parameters,0"
「（应该期待店长先生吧……吗）」,"Map013.json,events,2,pages,15,list,41,parameters,0"
是否再次观看事件？,"Map013.json,events,2,pages,16,list,1,parameters,0"
是,"Map013.json,events,2,pages,16,list,2,parameters,0,0"
否,"Map013.json,events,2,pages,16,list,2,parameters,0,1"
是,"Map013.json,events,2,pages,16,list,3,parameters,1"
教会的人,"Map013.json,events,2,pages,16,list,6,parameters,0"
“辛苦了清彦先生。,"Map013.json,events,2,pages,16,list,7,parameters,0"
您的身体怎么样？”,"Map013.json,events,2,pages,16,list,8,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,16,list,10,parameters,0"
“辛苦了。,"Map013.json,events,2,pages,16,list,11,parameters,0"
是的……身体没有受到特别的影响。,"Map013.json,events,2,pages,16,list,12,parameters,0"
只是完全不习惯，所以需要时间。”,"Map013.json,events,2,pages,16,list,13,parameters,0"
教会的人,"Map013.json,events,2,pages,16,list,15,parameters,0"
“孩子的身体看起来很辛苦呢……。,"Map013.json,events,2,pages,16,list,16,parameters,0"
不过，因为可爱所以或许更适合,"Map013.json,events,2,pages,16,list,17,parameters,0"
穿一些可爱的衣服？”,"Map013.json,events,2,pages,16,list,18,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,16,list,21,parameters,0"
“那个……只要换上其他的衣服,"Map013.json,events,2,pages,16,list,22,parameters,0"
就会自动变成这样。,"Map013.json,events,2,pages,16,list,23,parameters,0"
因为暴露度太高，所以想办法改变一下。”,"Map013.json,events,2,pages,16,list,24,parameters,0"
教会的人,"Map013.json,events,2,pages,16,list,27,parameters,0"
“对不起。\!,"Map013.json,events,2,pages,16,list,28,parameters,0"
……关于治疗，我已经和师傅商量过了。,"Map013.json,events,2,pages,16,list,29,parameters,0"
如果有什么情况我会立刻告诉您。”,"Map013.json,events,2,pages,16,list,30,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,16,list,32,parameters,0"
“那真是太感谢了。,"Map013.json,events,2,pages,16,list,33,parameters,0"
请多关照。”,"Map013.json,events,2,pages,16,list,34,parameters,0"
……虽然教会的人这么说，但是想起把事情告诉师傅后,"Map013.json,events,2,pages,16,list,37,parameters,0"
她说“男人变成小魔物娘最棒了。,"Map013.json,events,2,pages,16,list,38,parameters,0"
一定要想办法让他一辈子保持这样”。,"Map013.json,events,2,pages,16,list,39,parameters,0"
虽然生气了，但他们认真地开始调查了,"Map013.json,events,2,pages,16,list,41,parameters,0"
不过，让他们见面真的好吗，教会的人。,"Map013.json,events,2,pages,16,list,42,parameters,0"
教会的人,"Map013.json,events,2,pages,16,list,44,parameters,0"
「（应该期待店长先生吧……吗）」,"Map013.json,events,2,pages,16,list,45,parameters,0"
否,"Map013.json,events,2,pages,16,list,48,parameters,1"
教会的人,"Map013.json,events,10,pages,0,list,1,parameters,0"
「小姐，怎么了？,"Map013.json,events,10,pages,0,list,2,parameters,0"
湿漉漉的，有没有在哪里摔倒？」,"Map013.json,events,10,pages,0,list,3,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,0,list,5,parameters,0"
「小姐……。\!其实——。,"Map013.json,events,10,pages,0,list,6,parameters,0"
被称为小姐的我屏住呼吸。,"Map013.json,events,10,pages,0,list,8,parameters,0"
这个称呼我可能一辈子都不会习惯。,"Map013.json,events,10,pages,0,list,9,parameters,0"
像那个男孩说的那样,"Map013.json,events,10,pages,0,list,10,parameters,0"
从现在开始被称为姐姐。小姐。会一直持续下去吗。,"Map013.json,events,10,pages,0,list,11,parameters,0"
教会的人,"Map013.json,events,10,pages,0,list,17,parameters,0"
「原来如此……是这样啊。,"Map013.json,events,10,pages,0,list,18,parameters,0"
明白了，请放松一点。,"Map013.json,events,10,pages,0,list,19,parameters,0"
我会尽力而为！」,"Map013.json,events,10,pages,0,list,20,parameters,0"
教会的人,"Map013.json,events,10,pages,0,list,23,parameters,0"
「起！」,"Map013.json,events,10,pages,0,list,24,parameters,0"
教会的人,"Map013.json,events,10,pages,0,list,27,parameters,0"
「果然一次不行吗……。,"Map013.json,events,10,pages,0,list,28,parameters,0"
我会尝试几次的」,"Map013.json,events,10,pages,0,list,29,parameters,0"
教会的人额头上冒着汗，喘着气。,"Map013.json,events,10,pages,0,list,39,parameters,0"
效果只是衣服变干而已。,"Map013.json,events,10,pages,0,list,40,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,0,list,42,parameters,0"
「……看来不行吗？」,"Map013.json,events,10,pages,0,list,43,parameters,0"
教会的人,"Map013.json,events,10,pages,0,list,45,parameters,0"
「对不起……哈哈。,"Map013.json,events,10,pages,0,list,46,parameters,0"
\!我可能无能为力……」,"Map013.json,events,10,pages,0,list,47,parameters,0"
清彦,"Map013.json,events,10,pages,0,list,49,parameters,0"
「『我可能无能为力』？」,"Map013.json,events,10,pages,0,list,50,parameters,0"
教会的人,"Map013.json,events,10,pages,0,list,52,parameters,0"
「如果是师傅的话或许……。,"Map013.json,events,10,pages,0,list,53,parameters,0"
要叫他的话，他现在好像有其他事情忙,"Map013.json,events,10,pages,0,list,54,parameters,0"
可能需要一些时间……\!大概两个月左右」,"Map013.json,events,10,pages,0,list,55,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,0,list,58,parameters,0"
「两、两个月」,"Map013.json,events,10,pages,0,list,59,parameters,0"
还以这样的少女模样……？,"Map013.json,events,10,pages,0,list,61,parameters,0"
穿着小巧女孩穿的连衣裙——。,"Map013.json,events,10,pages,0,list,62,parameters,0"
突然向旁边看去，发现墙上挂着一面镜子。,"Map013.json,events,10,pages,0,list,66,parameters,0"
白色的连衣裙非常合身,"Map013.json,events,10,pages,0,list,68,parameters,0"
从那里伸出的纤细柔滑的双手和双脚映衬出可爱的少女。,"Map013.json,events,10,pages,0,list,69,parameters,0"
几乎没有原来的面貌了。,"Map013.json,events,10,pages,0,list,71,parameters,0"
年龄也似乎变小了……？,"Map013.json,events,10,pages,0,list,72,parameters,0"
胸部稍微小了一点，但这反而,"Map013.json,events,10,pages,0,list,73,parameters,0"
使她看起来更加苗条，更能展现她的魅力。,"Map013.json,events,10,pages,0,list,74,parameters,0"
教会的人,"Map013.json,events,10,pages,0,list,79,parameters,0"
「……就是这样，接下来的一段时间,"Map013.json,events,10,pages,0,list,80,parameters,0"
\!那个，清彦先生……？」,"Map013.json,events,10,pages,0,list,81,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,0,list,86,parameters,0"
「是、是！,"Map013.json,events,10,pages,0,list,87,parameters,0"
怎么了，我发呆了吗」,"Map013.json,events,10,pages,0,list,88,parameters,0"
教会的人,"Map013.json,events,10,pages,0,list,91,parameters,0"
「请暂时来我家。,"Map013.json,events,10,pages,0,list,92,parameters,0"
我会尽力帮助你」,"Map013.json,events,10,pages,0,list,93,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,0,list,95,parameters,0"
「那真是太感谢了……。,"Map013.json,events,10,pages,0,list,96,parameters,0"
但是现在的我一文不名」,"Map013.json,events,10,pages,0,list,97,parameters,0"
教会的人,"Map013.json,events,10,pages,0,list,99,parameters,0"
「没关系。,"Map013.json,events,10,pages,0,list,100,parameters,0"
我向师傅解释后，他立刻给了我资金。,"Map013.json,events,10,pages,0,list,101,parameters,0"
请放心，这也是我们共同的事业」,"Map013.json,events,10,pages,0,list,102,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,0,list,105,parameters,0"
「你来得真快……,"Map013.json,events,10,pages,0,list,106,parameters,0"
无论如何，多谢照顾」,"Map013.json,events,10,pages,0,list,107,parameters,0"
教会的人,"Map013.json,events,10,pages,0,list,109,parameters,0"
「我的家在\C[18]东边居民专用区\C[0]。,"Map013.json,events,10,pages,0,list,110,parameters,0"
请向士兵出示通行证。,"Map013.json,events,10,pages,0,list,111,parameters,0"
地址写在背面」,"Map013.json,events,10,pages,0,list,112,parameters,0"
获得了『居民卡』。,"Map013.json,events,10,pages,0,list,115,parameters,0"
教会的人,"Map013.json,events,10,pages,0,list,118,parameters,0"
「那么，我会在工作时间结束之前一直在这里。,"Map013.json,events,10,pages,0,list,119,parameters,0"
请随意，我家在\C[18]那里等你\C[0]」,"Map013.json,events,10,pages,0,list,120,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,0,list,122,parameters,0"
「谢谢。,"Map013.json,events,10,pages,0,list,123,parameters,0"
那么，稍微去城里散散步吧」,"Map013.json,events,10,pages,0,list,124,parameters,0"
教会的人,"Map013.json,events,10,pages,0,list,126,parameters,0"
「好的，再见」,"Map013.json,events,10,pages,0,list,127,parameters,0"
教会的人,"Map013.json,events,10,pages,0,list,133,parameters,0"
「（真是的，师傅喜欢变性男人呢。,"Map013.json,events,10,pages,0,list,134,parameters,0"
我解释情况后，他立刻提供了资金,"Map013.json,events,10,pages,0,list,135,parameters,0"
还说『期待与那个人见面』……）」,"Map013.json,events,10,pages,0,list,136,parameters,0"
教会的人,"Map013.json,events,10,pages,0,list,138,parameters,0"
「（又要在晚上袭击那种人吗……,"Map013.json,events,10,pages,0,list,139,parameters,0"
虽然希望他尽量不要这样……嗯）」,"Map013.json,events,10,pages,0,list,140,parameters,0"
士兵,"Map013.json,events,10,pages,0,list,150,parameters,0"
「非常抱歉。,"Map013.json,events,10,pages,0,list,151,parameters,0"
从这里开始，只有居民才能进入」,"Map013.json,events,10,pages,0,list,152,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,0,list,154,parameters,0"
「那么……」,"Map013.json,events,10,pages,0,list,155,parameters,0"
向士兵展示了卡片。,"Map013.json,events,10,pages,0,list,157,parameters,0"
士兵接过卡片，反复查看正反面……,"Map013.json,events,10,pages,0,list,158,parameters,0"
士兵,"Map013.json,events,10,pages,0,list,160,parameters,0"
「失礼了。,"Map013.json,events,10,pages,0,list,161,parameters,0"
请通过」,"Map013.json,events,10,pages,0,list,162,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,0,list,172,parameters,0"
「根据地图……是这里吧。,"Map013.json,events,10,pages,0,list,173,parameters,0"
……打扰了」,"Map013.json,events,10,pages,0,list,174,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,0,list,186,parameters,0"
「……两个月啊。,"Map013.json,events,10,pages,0,list,187,parameters,0"
再怎么想也没用，现在只能适应这个身体。,"Map013.json,events,10,pages,0,list,188,parameters,0"
今天就随便散散步，去那个人的家吧」,"Map013.json,events,10,pages,0,list,189,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,1,parameters,0"
「姐姐，怎么了？,"Map013.json,events,10,pages,2,list,2,parameters,0"
从哪里摔下来了？」,"Map013.json,events,10,pages,2,list,3,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,2,list,5,parameters,0"
“实际上――。”,"Map013.json,events,10,pages,2,list,6,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,12,parameters,0"
「原来如此……,"Map013.json,events,10,pages,2,list,13,parameters,0"
但是，真的看不出是男性呢……」,"Map013.json,events,10,pages,2,list,14,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,2,list,16,parameters,0"
「变得面目全非了……,"Map013.json,events,10,pages,2,list,17,parameters,0"
我非常理解女性的心情。,"Map013.json,events,10,pages,2,list,18,parameters,0"
这样的胸部，真的不该有……哈哈」,"Map013.json,events,10,pages,2,list,19,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,22,parameters,0"
「（嗯……真的很大。,"Map013.json,events,10,pages,2,list,23,parameters,0"
比我大一圈两圈……真羡慕）」,"Map013.json,events,10,pages,2,list,24,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,27,parameters,0"
「（不行，要工作了）,"Map013.json,events,10,pages,2,list,28,parameters,0"
那么……开始吧。\!嗯！」,"Map013.json,events,10,pages,2,list,29,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,32,parameters,0"
「果然一次不行吗……。,"Map013.json,events,10,pages,2,list,33,parameters,0"
我会尝试几次的」,"Map013.json,events,10,pages,2,list,34,parameters,0"
教会的人额头上冒着汗，喘着气。,"Map013.json,events,10,pages,2,list,44,parameters,0"
效果只是衣服变干而已。,"Map013.json,events,10,pages,2,list,45,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,2,list,47,parameters,0"
「不行吗？」,"Map013.json,events,10,pages,2,list,48,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,50,parameters,0"
「对不起……哈哈。,"Map013.json,events,10,pages,2,list,51,parameters,0"
\!我可能无能为力……」,"Map013.json,events,10,pages,2,list,52,parameters,0"
清彦,"Map013.json,events,10,pages,2,list,54,parameters,0"
「『我可能无能为力』？」,"Map013.json,events,10,pages,2,list,55,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,57,parameters,0"
「如果是师傅的话或许……。,"Map013.json,events,10,pages,2,list,58,parameters,0"
要叫他的话，他现在好像有其他事情忙,"Map013.json,events,10,pages,2,list,59,parameters,0"
可能需要一些时间……\!大概两个月左右」,"Map013.json,events,10,pages,2,list,60,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,2,list,64,parameters,0"
「两、两个月」,"Map013.json,events,10,pages,2,list,65,parameters,0"
还要保持这个样子……？,"Map013.json,events,10,pages,2,list,67,parameters,0"
还要背负这块铅……？,"Map013.json,events,10,pages,2,list,68,parameters,0"
还要保持这么脆弱的样子……？,"Map013.json,events,10,pages,2,list,69,parameters,0"
思绪纷乱，无法整理。,"Map013.json,events,10,pages,2,list,71,parameters,0"
只是呆呆地站在那里。,"Map013.json,events,10,pages,2,list,72,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,77,parameters,0"
「……就是这样，接下来的一段时间,"Map013.json,events,10,pages,2,list,78,parameters,0"
\!那个，清彦先生……？」,"Map013.json,events,10,pages,2,list,79,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,2,list,84,parameters,0"
「是、是！,"Map013.json,events,10,pages,2,list,85,parameters,0"
对不起，刚才发呆了」,"Map013.json,events,10,pages,2,list,86,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,89,parameters,0"
「请暂时来我家。,"Map013.json,events,10,pages,2,list,90,parameters,0"
我会尽力帮助你」,"Map013.json,events,10,pages,2,list,91,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,2,list,93,parameters,0"
「那真是太感谢了……。,"Map013.json,events,10,pages,2,list,94,parameters,0"
但是现在的我一文不名」,"Map013.json,events,10,pages,2,list,95,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,97,parameters,0"
「没关系。,"Map013.json,events,10,pages,2,list,98,parameters,0"
我向师傅解释后，他立刻给了我资金。,"Map013.json,events,10,pages,2,list,99,parameters,0"
请放心，这也是我们共同的事业」,"Map013.json,events,10,pages,2,list,100,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,2,list,103,parameters,0"
「你来得真快……,"Map013.json,events,10,pages,2,list,104,parameters,0"
无论如何，多谢照顾」,"Map013.json,events,10,pages,2,list,105,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,107,parameters,0"
「我的家在\C[18]东边居民专用区\C[0]。,"Map013.json,events,10,pages,2,list,108,parameters,0"
请向士兵出示通行证。,"Map013.json,events,10,pages,2,list,109,parameters,0"
地址写在背面」,"Map013.json,events,10,pages,2,list,110,parameters,0"
获得了『居民卡』。,"Map013.json,events,10,pages,2,list,113,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,116,parameters,0"
「那么，我会在工作时间结束之前一直在这里。,"Map013.json,events,10,pages,2,list,117,parameters,0"
请随意，我家在\C[18]那里等你\C[0]」,"Map013.json,events,10,pages,2,list,118,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,2,list,120,parameters,0"
「谢谢。,"Map013.json,events,10,pages,2,list,121,parameters,0"
那么，稍微去城里散散步吧」,"Map013.json,events,10,pages,2,list,122,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,124,parameters,0"
「知道了，再见」,"Map013.json,events,10,pages,2,list,125,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,131,parameters,0"
「（真是的，师傅喜欢变性男人呢。,"Map013.json,events,10,pages,2,list,132,parameters,0"
我解释情况后，他立刻提供了资金,"Map013.json,events,10,pages,2,list,133,parameters,0"
还说『期待与那个人见面』……」,"Map013.json,events,10,pages,2,list,134,parameters,0"
教会的人,"Map013.json,events,10,pages,2,list,136,parameters,0"
「（又要在晚上袭击那种人吗……,"Map013.json,events,10,pages,2,list,137,parameters,0"
虽然希望他尽量不要这样……嗯）」,"Map013.json,events,10,pages,2,list,138,parameters,0"
\C[27]清彦,"Map013.json,events,10,pages,2,list,144,parameters,0"
